competitor,competitor_product_id,competitor_product_name,competitor_product_group_name,unit,color,stem_length,stems_per_unit,unit_price,stem_price,available_units,grower_country,cleaned_name_used,created_at,eta_date
DVFlora,20755,Carnation Green Prado Mint,Carnations,Stem,Green,,1,0.44,0.44,350,Colombia,Carnation Green Prado Mint,2025-06-01,2025-06-10
DVFlora,57981,Alstro Green Shakira,Alstroemeria,Bu,Green,,1,7.79,7.79,4,Colombia,Alstro Green Shakira,2025-06-01,2025-06-10
DVFlora,21353,Mini Carnation White,Carnations-Mini,Bu,White,,1,4.99,4.99,30,Colombia,Mini Carnation White,2025-06-01,2025-06-10
DVFlora,21411,Mini Carnation White,Carnations-Mini,Bu,White,,1,4.79,4.79,15,Colombia,Mini Carnation White,2025-06-01,2025-06-10
DVFlora,20080,Alstro Red Ecuador,Alstroemeria,Bu,Red,70,70,6.99,6.99,18,Ecuador,Alstro Red Ecuador,2025-06-01,2025-06-10
DVFlora,50981,Alstro Red Nadia Select,Alstroemeria,Bu,Red,,1,5.59,5.59,5,Colombia,Alstro Red Nadia Select,2025-06-01,2025-06-10
DVFlora,66703,Alstro Red Nadia Super Select,Alstroemeria,Bu,Red,,1,6.49,6.49,5,Colombia,Alstro Red Nadia Super Select,2025-06-01,2025-06-10
DVFlora,50857,Alstro Pink-Hot Ecuado,Alstroemeria,Bu,Pink Hot,70,70,,,,Ecuador,Alstro Pink-Hot Ecuado,2025-06-01,2025-06-10
DVFlora,58003,Alstro Pink-Hot Bodega,Alstroemeria,Bu,Pink Hot,,1,7.79,7.79,4,Colombia,Alstro Pink-Hot Bodega,2025-06-01,2025-06-10
DVFlora,66056,Alstro Pink-Hot Rome Prem,Alstroemeria,Bu,Pink Hot,,1,6.99,6.99,5,Colombia,Alstro Pink-Hot Rome Prem,2025-06-01,2025-06-10
DVFlora,21350,Mini Carnation Purple,Carnations-Mini,Bu,Purple,,1,4.29,4.29,30,Colombia,Mini Carnation Purple,2025-06-01,2025-06-10
