competitor,competitor_product_id,competitor_product_name,competitor_product_group_name,unit,color,stem_length,stems_per_unit,unit_price,stem_price,available_units,grower_country,product_url,matched_variety_name,variety_key,variety_score,cleaned_name_used,matched_product_group_name,product_group_key,product_group_score,created_at,eta_date
Dvflora,62876,Pom Pon Purple Daisy 6pk,Pom Pons,Bu,Purple,,1,3.89,3.89,6,Colombia,https://shop.dvflora.com/cgi-bin/dv.sh/nfprod-list.w?CustCode=DVGuest,,,,daisy pom pon purple,Chrysanthemum Spray Pom,0d5b7722-4a5a-4e2c-b4d1-f0caf57e39a7,0.8748950958251953,2025-05-26,2025-06-04
Dvflora,54702,Pom Pon Peach Daisy 6pk,Pom Pons,Bu,Peach,,1,3.99,3.99,6,Colombia,https://shop.dvflora.com/cgi-bin/dv.sh/nfprod-list.w?CustCode=DVGuest,,,,daisy peach pom pon,Chrysanthemum Spray Pom,0d5b7722-4a5a-4e2c-b4d1-f0caf57e39a7,0.8748950958251953,2025-05-26,2025-06-04
Dvflora,54573,Pom Pon BiColor Daisy Starfire,Pom Pons,Bu,Bicolor,,1,3.89,3.89,24,Colombia,https://shop.dvflora.com/cgi-bin/dv.sh/nfprod-list.w?CustCode=DVGuest,,,,bicolor daisy pom pon starfire,Chrysanthemum Spray Pom,0d5b7722-4a5a-4e2c-b4d1-f0caf57e39a7,0.8748950958251953,2025-05-26,2025-06-04
Dvflora,50670,Pom Pon White Daisy Reagan 5pk,Pom Pons,Bu,White,,1,3.99,3.99,5,Colombia,https://shop.dvflora.com/cgi-bin/dv.sh/nfprod-list.w?CustCode=DVGuest,,,,daisy pom pon reagan white,Chrysanthemum Spray Pom,0d5b7722-4a5a-4e2c-b4d1-f0caf57e39a7,0.8748950958251953,2025-05-26,2025-06-04
Dvflora,60677,Pom Pon White Daisy Reagan 5pk,Pom Pons,Bu,White,,1,4.49,4.49,5,Colombia,https://shop.dvflora.com/cgi-bin/dv.sh/nfprod-list.w?CustCode=DVGuest,,,,daisy pom pon reagan white,Chrysanthemum Spray Pom,0d5b7722-4a5a-4e2c-b4d1-f0caf57e39a7,0.8748950958251953,2025-05-26,2025-06-04
Dvflora,54786,Pom Pon Yellow Daisy,Pom Pons,Bu,Yellow,,1,3.69,3.69,24,Colombia,https://shop.dvflora.com/cgi-bin/dv.sh/nfprod-list.w?CustCode=DVGuest,Yellow Elegance Creme Ranunculus,774642a7-40d3-48c6-80f8-c356e766d298,0.937289834022522,daisy pom pon yellow,Chrysanthemum Spray Pom,0d5b7722-4a5a-4e2c-b4d1-f0caf57e39a7,0.8748950958251953,2025-05-26,2025-06-04
Dvflora,58683,Pom Pon Ylw Daisy Ylwstone 6pk,Pom Pons,Bu,Yellow,,1,3.59,3.59,6,Colombia,https://shop.dvflora.com/cgi-bin/dv.sh/nfprod-list.w?CustCode=DVGuest,,,,daisy pom pon yellow ylwstone,Chrysanthemum Spray Pom,0d5b7722-4a5a-4e2c-b4d1-f0caf57e39a7,0.8748950958251953,2025-05-26,2025-06-04
Dvflora,46897,Rose Pk Hermosa 50cm,Roses-Standard,Stem,Pink,50,1,1.55,1.55,25,Ecuador,https://shop.dvflora.com/cgi-bin/dv.sh/nfprod-list.w?CustCode=DVGuest,Pink Hermosa Roses,b38833fc-ce8d-491b-8706-d06b7b06ed45,0.9668314456939697,hermosa pink rose,Roses,7a68bebd-2346-4e73-9906-a7665c22ce20,0.8206237554550171,2025-05-26,2025-06-04
Dvflora,43736,Rose Pk Hermosa 50cm cs50,Roses-Standard,Stem,Pink,50,1,1.45,1.45,50,Ecuador,https://shop.dvflora.com/cgi-bin/dv.sh/nfprod-list.w?CustCode=DVGuest,Pink Hermosa Roses,b38833fc-ce8d-491b-8706-d06b7b06ed45,0.9668314456939697,hermosa pink rose,Roses,7a68bebd-2346-4e73-9906-a7665c22ce20,0.8206237554550171,2025-05-26,2025-06-04
Dvflora,46898,Rose Pk Hermosa 60cm,Roses-Standard,Stem,Pink,60,1,1.65,1.65,25,Ecuador,https://shop.dvflora.com/cgi-bin/dv.sh/nfprod-list.w?CustCode=DVGuest,Pink Hermosa Roses,b38833fc-ce8d-491b-8706-d06b7b06ed45,0.9668314456939697,hermosa pink rose,Roses,7a68bebd-2346-4e73-9906-a7665c22ce20,0.8206237554550171,2025-05-26,2025-06-04
