competitor,competitor_product_id,competitor_product_name,competitor_product_group_name,unit,color,stem_length,stems_per_unit,unit_price,price_per_stem,available_units,grower_country,product_url,matched_variety_name,variety_key,variety_score,matched_product_group_name,product_group_key,product_group_score,created_at
Dvflora,54702,Pom Pon Peach Daisy,Pom Pons,Bu,Peach,,1,4.79,4.79,6,Colombia,https://shop.dvflora.com/cgi-bin/dv.sh/nfprod-list.w?CustCode=DVGuest&DVWebKey=73282720.02458272&DVCust=00589425&DisplayType=list&NumProds=50&CatKey=00000003&cat-key=00000003&ShowPrice=true&Image=No&ip-prod-ct=0&WebCatKey=00000387&Variety=Daisy&Color=Peach,,,,,,,2025-05-07
Dvflora,Item ##,,Pom Pons,Sold As,Purple,,1,,,,"Item 
Name",https://shop.dvflora.com/cgi-bin/dv.sh/nfprod-list.w?CustCode=DVGuest&DVWebKey=73282720.02458272&DVCust=00589425&DisplayType=list&NumProds=50&CatKey=00000003&cat-key=00000003&ShowPrice=true&Image=No&ip-prod-ct=0&WebCatKey=00000387&Variety=Daisy&Color=Purple,,,,,,,2025-05-07
Dvflora,23266,Pom Pon Purple Daisy,Pom Pons,Bu,Purple,,1,4.39,4.39,24,Colombia,https://shop.dvflora.com/cgi-bin/dv.sh/nfprod-list.w?CustCode=DVGuest&DVWebKey=73282720.02458272&DVCust=00589425&DisplayType=list&NumProds=50&CatKey=00000003&cat-key=00000003&ShowPrice=true&Image=No&ip-prod-ct=0&WebCatKey=00000387&Variety=Daisy&Color=Purple,,,,,,,2025-05-07
Dvflora,21569,Pom Pon Purple Daisy,Pom Pons,Bu,Purple,,1,4.49,4.49,5,Colombia,https://shop.dvflora.com/cgi-bin/dv.sh/nfprod-list.w?CustCode=DVGuest&DVWebKey=73282720.02458272&DVCust=00589425&DisplayType=list&NumProds=50&CatKey=00000003&cat-key=00000003&ShowPrice=true&Image=No&ip-prod-ct=0&WebCatKey=00000387&Variety=Daisy&Color=Purple,,,,,,,2025-05-07
Dvflora,62876,Pom Pon Purple Daisy,Pom Pons,Bu,Purple,,1,4.59,4.59,6,Colombia,https://shop.dvflora.com/cgi-bin/dv.sh/nfprod-list.w?CustCode=DVGuest&DVWebKey=73282720.02458272&DVCust=00589425&DisplayType=list&NumProds=50&CatKey=00000003&cat-key=00000003&ShowPrice=true&Image=No&ip-prod-ct=0&WebCatKey=00000387&Variety=Daisy&Color=Purple,,,,,,,2025-05-07
Dvflora,Item ##,,Pom Pons,Sold As,Pink,,1,,,,"Item 
Name",https://shop.dvflora.com/cgi-bin/dv.sh/nfprod-list.w?CustCode=DVGuest&DVWebKey=73282720.02458272&DVCust=00589425&DisplayType=list&NumProds=50&CatKey=00000003&cat-key=00000003&ShowPrice=true&Image=No&ip-prod-ct=0&WebCatKey=00000387&Variety=Daisy&Color=Pink,,,,,,,2025-05-07
Dvflora,54571,Pom Pon Pink Daisy,Pom Pons,Bu,Pink,,1,4.99,4.99,12,Colombia,https://shop.dvflora.com/cgi-bin/dv.sh/nfprod-list.w?CustCode=DVGuest&DVWebKey=73282720.02458272&DVCust=00589425&DisplayType=list&NumProds=50&CatKey=00000003&cat-key=00000003&ShowPrice=true&Image=No&ip-prod-ct=0&WebCatKey=00000387&Variety=Daisy&Color=Pink,,,,,,,2025-05-07
Dvflora,50977,Pom Pon Pink Daisy Alma,Pom Pons,Bu,Pink,,1,5.19,5.19,12,Colombia,https://shop.dvflora.com/cgi-bin/dv.sh/nfprod-list.w?CustCode=DVGuest&DVWebKey=73282720.02458272&DVCust=00589425&DisplayType=list&NumProds=50&CatKey=00000003&cat-key=00000003&ShowPrice=true&Image=No&ip-prod-ct=0&WebCatKey=00000387&Variety=Daisy&Color=Pink,,,,,,,2025-05-07
Dvflora,Item ##,,Pom Pons,Sold As,Assorted,,1,,,,"Item 
Name",https://shop.dvflora.com/cgi-bin/dv.sh/nfprod-list.w?CustCode=DVGuest&DVWebKey=73282720.02458272&DVCust=00589425&DisplayType=list&NumProds=50&CatKey=00000003&cat-key=00000003&ShowPrice=true&Image=No&ip-prod-ct=0&WebCatKey=00000387&Variety=Daisy&Color=Assorted,,,,,,,2025-05-07
Dvflora,23174,Pom Pon Assorted Daisy,Pom Pons,Bu,Assorted,,1,5.09,5.09,12,Colombia,https://shop.dvflora.com/cgi-bin/dv.sh/nfprod-list.w?CustCode=DVGuest&DVWebKey=73282720.02458272&DVCust=00589425&DisplayType=list&NumProds=50&CatKey=00000003&cat-key=00000003&ShowPrice=true&Image=No&ip-prod-ct=0&WebCatKey=00000387&Variety=Daisy&Color=Assorted,,,,,,,2025-05-07
