competitor,competitor_product_id,competitor_product_name,competitor_product_group_name,unit,stem_length,stems_per_unit,price_per_stem,matched_variety_name,variety_key,variety_score,matched_product_group_name,product_group_key,product_group_score,created_at,eta_date
Flowermarketplace,2271462,EASTER COMBO BOX SMALL,Combo Boxes,Box,,1,209.0,,,,,,,2025-05-09,2025-05-10
Flowermarketplace,2178306,Emerald Med. Green,emerald med.,Bunch,60,1,3.33,,,,Emerald,3d56c2e4-1be4-427d-a415-5873527eaf87,0.8231037855148315,2025-05-09,2025-05-10
Flowermarketplace,2228930,Emerald Premium GREEN 30 BU/BX,emerald premium,Bunch,7580,1,3.89,,,,Emerald,3d56c2e4-1be4-427d-a415-5873527eaf87,0.8361197710037231,2025-05-09,2025-05-10
Flowermarketplace,2271817,Eucalyptus Assorted Greens,Eucalyptus,Bunch,5060,50,13.0,Baby Eucalyptus Green (tinted/ dyed) Preserved Roses,7839cbac-18b4-4938-9f8c-75954b519332,0.9068981409072876,Eucalyptus,12932620-8484-4dba-bd71-205ed8e5da22,1.0,2025-05-09,2025-05-10
Flowermarketplace,2087288,EUCALYPTUS CINEREA,greens,Bunch,,1,12.38,Cinerea Eucalyptus,479ef914-9b6e-41e4-b4b6-97ec0f0215a9,1.0000001192092896,,,,2025-05-09,2025-05-10
Flowermarketplace,111,EUCALYPTUS GUNNI,Greens,Bunch,,1,13.1,Gunni Eucalyptus,04daffb5-a8f5-40e3-9b78-31209df08341,0.9850611686706543,,,,2025-05-09,2025-05-10
Flowermarketplace,2261182,EUCALYPTUS MIX BOUQUET GREEN 16 BU/BX-70CM,eucalyptus mix bouquet,Bunch,60,1,13.22,,,,,,,2025-05-09,2025-05-10
Flowermarketplace,2261184,EUCALYPTUS MIX GREEN 10 BU/BX,eucalyptus mix,Bunch,60,1,13.22,Assorted Eucalyptus,4a61e9fc-7db9-42be-aed9-260f00dacbaa,0.9133378267288208,Eucalyptus,12932620-8484-4dba-bd71-205ed8e5da22,0.9426560401916504,2025-05-09,2025-05-10
Flowermarketplace,1888142,EUCALYPTUS PARVIFOLIA BUNCH,"Greens, Eucalyptus",Bunch,,1,10.12,Parvifolia Eucalyptus,9bf77417-3ff1-44a7-9da2-3a1e5a38d570,0.9871529340744019,Eucalyptus,12932620-8484-4dba-bd71-205ed8e5da22,0.8699182271957397,2025-05-09,2025-05-10
Flowermarketplace,568123,EUCALYPTUS SILVER DOLLAR,"Greens, Eucalyptus",Bunch,,1,12.1,Silver Dollar Eucalyptus,9518d2d8-d613-4e76-8cbc-67715053315b,0.9759077429771423,Eucalyptus,12932620-8484-4dba-bd71-205ed8e5da22,0.8699182271957397,2025-05-09,2025-05-10
Flowermarketplace,2264085,Eucalyptus SPX Silver Dollar,eucalyptus spx,Bunch,,10,12.93,,,,,,,2025-05-09,2025-05-10
Flowermarketplace,2220968,EUCALYPTUS WILLOW GREEN WILLOW 10 BU/BX,eucalyptus willow,Bunch,60,1,11.0,Willow Eucalyptus,696c4355-53f4-4657-a13d-e38586274ceb,0.9478901028633118,Eucalyptus,12932620-8484-4dba-bd71-205ed8e5da22,0.9328980445861816,2025-05-09,2025-05-10
Flowermarketplace,2263586,EXOTIC BOX,Combo Boxes,Box,,1,150.0,,,,,,,2025-05-09,2025-05-10
Flowermarketplace,327480,EXPLORER,Roses,Stems,50,1,1.31,Explorer Roses,41a167bd-bf87-4f11-8afa-1c9cbb3a3cca,0.9910993576049805,Roses,7a68bebd-2346-4e73-9906-a7665c22ce20,0.9801033735275269,2025-05-09,2025-05-10
Flowermarketplace,327484,EXPLORER,Roses,Stems,60,1,1.63,Explorer Roses,41a167bd-bf87-4f11-8afa-1c9cbb3a3cca,0.9910993576049805,Roses,7a68bebd-2346-4e73-9906-a7665c22ce20,0.9801033735275269,2025-05-09,2025-05-10
Flowermarketplace,2134980,Fancy Podocarpus 15 BU/BX,Fancy Podocarpus,Bunch,6570,1,8.78, Upright Podocarpus,ee7c44cc-ea9d-4d32-a267-6fcd29e6c488,0.9308818578720093,Podocarpus,f804fa74-740c-497f-9ad4-56bd909b9f89,0.9914124608039856,2025-05-09,2025-05-10
Flowermarketplace,2220969,FEATHER WILLOW EUC GREEN 10 BU/BX,feather willow euc,Bunch,5560,1,11.0,,,,,,,2025-05-09,2025-05-10
Flowermarketplace,2242950,Fever Few White 12BU/BX,Fever Few,Bunch,,1,24.33,,,,,,,2025-05-09,2025-05-10
Flowermarketplace,2220110,Fl. Ruscus GREEN Israeli 100 BU/BX,Fl. Ruscus,Bunch,60,1,5.11,,,,Ruscus,1191a80c-1726-43d7-b4e2-4e239d0a5598,0.9745781421661377,2025-05-09,2025-05-10
Flowermarketplace,2220013,Fl. Ruscus GREEN Israeli 30 BU/BX,Fl. Ruscus,Bunch,60,1,5.22,Israeli Ruscus,85fa7098-487a-48cb-957e-4b323f1b637d,0.9192484617233276,Ruscus,1191a80c-1726-43d7-b4e2-4e239d0a5598,0.9745781421661377,2025-05-09,2025-05-10
Flowermarketplace,2134982,Fl. Ruscus Green Israeli 50 BU/BX,Fl. Ruscus,Bunch,60,1,5.0,Israeli Ruscus,85fa7098-487a-48cb-957e-4b323f1b637d,0.9082785248756409,Ruscus,1191a80c-1726-43d7-b4e2-4e239d0a5598,0.9745781421661377,2025-05-09,2025-05-10
Flowermarketplace,2220818,Flat Fern GREEN 25 BU/BX,flat fern,Bunch,60,1,8.33,,,,,,,2025-05-09,2025-05-10
Flowermarketplace,2143947,Flat Fern Green,flat fern,Bunch,6570,1,8.78,Flat Fern,7441515f-e556-49c7-9f6c-22aba2f9cebd,0.9582036137580872,,,,2025-05-09,2025-05-10
Flowermarketplace,2264131,FLAX ASSORTED ASSORTED 10 BU/BX,flax,Bunch,60,1,7.78,,,,Flax,ddd1b091-f766-4f24-976a-5c5629727d39,1.0000001192092896,2025-05-09,2025-05-10
Flowermarketplace,2264255,FLAX Variegated VARIEGATED 10 BU/BX,flax,Bunch,60,1,6.11,,,,Flax,ddd1b091-f766-4f24-976a-5c5629727d39,1.0000001192092896,2025-05-09,2025-05-10
Flowermarketplace,2193417,FLOWER ASSORTED,Combo Boxes,Bunch,,1,6.25,,,,,,,2025-05-09,2025-05-10
Flowermarketplace,326921,FOOTBALL ASSORTED,Mums Disbud,Bunch,,1,24.73,,,,Chrysanthemum Disbuds/ Mums,73eebcd2-6c71-4e23-939a-410a82bd675a,0.9734145402908325,2025-05-09,2025-05-10
Flowermarketplace,207,FREEDOM,Roses,Stems,70,1,1.9,,,,Roses,7a68bebd-2346-4e73-9906-a7665c22ce20,0.9801033735275269,2025-05-09,2025-05-10
Flowermarketplace,2134984,Galax Green,Galax,Bunch,20,1,2.78,Galaxi  Galax,15e32056-88ad-46ef-ad9e-2eacdcc34d94,0.9554495811462402,Galax,82d3fc77-25a7-4e8b-a438-e1f56b8db9aa,1.0,2025-05-09,2025-05-10
Flowermarketplace,2097689,GARDEN R. WHITE CANDLELIGHT,garden r. 25st,Stems,60,25,2.0,Rosalind Garden Roses,18806de5-a9ae-4015-b420-0b7a5757d1f5,0.9251251220703125,Garden Roses,85e5624a-3128-4892-a306-3e060dd1c8fe,0.8909162282943726,2025-05-09,2025-05-10
Flowermarketplace,2259997,GARDEN R. CORAL DRAGON FLY,garden r.,Stems,5060,50,2.42,Dragonfly Garden Roses,d72b3b04-a2d5-4487-9008-713967648544,0.9599127769470215,Garden Roses,85e5624a-3128-4892-a306-3e060dd1c8fe,0.9588974118232727,2025-05-09,2025-05-10
Flowermarketplace,2269851,GARDEN R. PEACH KINGS CROSS,garden r.,Stems,60,1,2.42,Kings Cross Garden Roses,bfa4aad2-5bd8-4bd9-a983-d8b3bb2023fe,0.9673309922218323,Garden Roses,85e5624a-3128-4892-a306-3e060dd1c8fe,0.9588974118232727,2025-05-09,2025-05-10
Flowermarketplace,2095686,GARDEN R. PEACH PHOENIX,"garden r., garden r. 25st",Stems,60,1,2.0,Phoenix Garden Roses,b6eb66ea-0436-412f-a3c4-3a3933af8390,0.9882766008377075,Garden Roses,85e5624a-3128-4892-a306-3e060dd1c8fe,0.9154806137084961,2025-05-09,2025-05-10
Flowermarketplace,2191386,GARDEN R. PEACH PHOENIX,garden r.,Stems,70,1,2.0,Phoenix Garden Roses,b6eb66ea-0436-412f-a3c4-3a3933af8390,0.9882766008377075,Garden Roses,85e5624a-3128-4892-a306-3e060dd1c8fe,0.9588974118232727,2025-05-09,2025-05-10
Flowermarketplace,2266747,GARDEN R. PINK SWEET 4LOVE,garden r.,Stems,50,1,1.91,Sweet Garden (Bicolor Pink - White) Roses,43345746-c666-4b86-be0e-51eec10de102,0.9899922609329224,Garden Roses,85e5624a-3128-4892-a306-3e060dd1c8fe,0.9588974118232727,2025-05-09,2025-05-10
Flowermarketplace,2094440,GARDEN R. WHITE CANDLELIGHT,"garden r., garden r. 25st",Stems,50,1,1.69,Rosalind Garden Roses,18806de5-a9ae-4015-b420-0b7a5757d1f5,0.9251251220703125,Garden Roses,85e5624a-3128-4892-a306-3e060dd1c8fe,0.9154806137084961,2025-05-09,2025-05-10
