color,competitor,competitor_product_group_name,competitor_product_id,competitor_product_name,created_at,eta_date,matched_product_group_name,matched_variety_name,price_per_stem,product_group_key,product_group_score,stem_length,stems_per_unit,unit,unit_price,variety_key,variety_score
Pink,Flowermarketplace,Dendrobium,2177184,DENDROBIUM LUCY PINK,2025-05-03,2025-05-13,Dendrobium,Dendrobium Lucy Pink,29.9,8f9a0e73-1a98-4ef5-b732-b2ec4900ae3a,1.0,,1,Bunch,29.9,c069c20b-5828-47e5-92f2-d655cf4db904,0.9983397722244263
Pink,Flowermarketplace,Dendrobium,2177185,DENDROBIUM MADAM,2025-05-03,2025-05-13,Dendrobium,Dendrobium Black Beauty,30.68,8f9a0e73-1a98-4ef5-b732-b2ec4900ae3a,1.0,,1,Bunch,30.68,c3be219f-4a7e-422d-b24a-c7561931e108,0.9948462247848511
White,Flowermarketplace,Dendrobium,2177187,DENDROBIUM MALI WHITE,2025-05-03,2025-05-13,Dendrobium,Dendrobium Green,30.68,8f9a0e73-1a98-4ef5-b732-b2ec4900ae3a,1.0,,1,Bunch,30.68,10633535-fe12-4945-b403-38dfa654ff55,0.9951999187469482
Purple,Flowermarketplace,Dendrobium,2177188,DENDROBIUM MARY RED,2025-05-03,2025-05-13,Dendrobium,Dendrobium Black Beauty,29.9,8f9a0e73-1a98-4ef5-b732-b2ec4900ae3a,1.0,,1,Bunch,29.9,c3be219f-4a7e-422d-b24a-c7561931e108,0.9958578944206238
Red,Flowermarketplace,Dendrobium,2177197,DENDROBIUM METAS RED,2025-05-03,2025-05-13,Dendrobium,Dendrobium Green,30.68,8f9a0e73-1a98-4ef5-b732-b2ec4900ae3a,1.0,,1,Bunch,30.68,10633535-fe12-4945-b403-38dfa654ff55,0.9447116255760193
Bicolor,Flowermarketplace,Dendrobium,2177186,DENDROBIUM MICKY PINK,2025-05-03,2025-05-13,Dendrobium,Dendrobium Big White ,29.64,8f9a0e73-1a98-4ef5-b732-b2ec4900ae3a,1.0,,1,Bunch,29.64,c069c20b-5828-47e5-92f2-d655cf4db904,0.9878047704696655
Bicolor,Flowermarketplace,Dendrobium,2177189,DENDROBIUM MISS PINK,2025-05-03,2025-05-13,Dendrobium,Dendrobium Black Beauty,29.9,8f9a0e73-1a98-4ef5-b732-b2ec4900ae3a,1.0,,1,Bunch,29.9,c3be219f-4a7e-422d-b24a-c7561931e108,0.9948753118515015
Bicolor,Flowermarketplace,Dendrobium,2177190,DENDROBIUM MISS TEEN,2025-05-03,2025-05-13,Dendrobium,Dendrobium Black Beauty,29.64,8f9a0e73-1a98-4ef5-b732-b2ec4900ae3a,1.0,,1,Bunch,29.64,c3be219f-4a7e-422d-b24a-c7561931e108,0.9902558922767639
Blue,Flowermarketplace,Dendrobium,2177191,DENDROBIUM MISS TEEN BLUE,2025-05-03,2025-05-13,Dendrobium,Dendrobium Black Beauty,30.42,8f9a0e73-1a98-4ef5-b732-b2ec4900ae3a,1.0,,1,Bunch,30.42,c3be219f-4a7e-422d-b24a-c7561931e108,0.9902558922767639
Green,Flowermarketplace,Dendrobium,2177192,DENDROBIUM MISS TEEN GREEN,2025-05-03,2025-05-13,Dendrobium,Dendrobium Black Beauty,30.42,8f9a0e73-1a98-4ef5-b732-b2ec4900ae3a,1.0,,1,Bunch,30.42,c3be219f-4a7e-422d-b24a-c7561931e108,0.9902558922767639
Red,Flowermarketplace,Dendrobium,2177193,DENDROBIUM MISS TEEN RED,2025-05-03,2025-05-13,Dendrobium,Dendrobium Black Beauty,30.42,8f9a0e73-1a98-4ef5-b732-b2ec4900ae3a,1.0,,1,Bunch,30.42,c3be219f-4a7e-422d-b24a-c7561931e108,0.9902558922767639
Yellow,Flowermarketplace,Dendrobium,2177194,DENDROBIUM MISS TEEN YELLOW,2025-05-03,2025-05-13,Dendrobium,Dendrobium Black Beauty,30.42,8f9a0e73-1a98-4ef5-b732-b2ec4900ae3a,1.0,,1,Bunch,30.42,c3be219f-4a7e-422d-b24a-c7561931e108,0.9902558922767639
Pink,Flowermarketplace,Dendrobium,2177195,DENDROBIUM MISS WORLD,2025-05-03,2025-05-13,Dendrobium,Dendrobium Black Beauty,30.68,8f9a0e73-1a98-4ef5-b732-b2ec4900ae3a,1.0,,1,Bunch,30.68,c3be219f-4a7e-422d-b24a-c7561931e108,0.9697614312171936
Pink,Flowermarketplace,Dendrobium,2177196,DENDROBIUM MORNING PINK,2025-05-03,2025-05-13,Dendrobium,Dendrobium Big White ,29.64,8f9a0e73-1a98-4ef5-b732-b2ec4900ae3a,1.0,,1,Bunch,29.64,c069c20b-5828-47e5-92f2-d655cf4db904,0.9793768525123596
White,Flowermarketplace,Dendrobium,2177199,DENDROBIUM NATURE WHITE,2025-05-03,2025-05-13,Dendrobium,Dendrobium Green,31.46,8f9a0e73-1a98-4ef5-b732-b2ec4900ae3a,1.0,,1,Bunch,31.46,10633535-fe12-4945-b403-38dfa654ff55,0.991107165813446
Pink,Flowermarketplace,Dendrobium,2177200,DENDROBIUM NEW WASANA,2025-05-03,2025-05-13,Dendrobium,,29.9,8f9a0e73-1a98-4ef5-b732-b2ec4900ae3a,1.0,,1,Bunch,29.9,,
Pink,Flowermarketplace,Dendrobium,2177198,DENDROBIUM NOPPORN PINK,2025-05-03,2025-05-13,Dendrobium,Dendrobium Lucy Pink,29.64,8f9a0e73-1a98-4ef5-b732-b2ec4900ae3a,1.0,,1,Bunch,29.64,c069c20b-5828-47e5-92f2-d655cf4db904,0.9027687311172485
Bicolor,Flowermarketplace,Dendrobium,2177201,DENDROBIUM PENNAPHA,2025-05-03,2025-05-13,Dendrobium,,31.46,8f9a0e73-1a98-4ef5-b732-b2ec4900ae3a,1.0,,1,Bunch,31.46,,
Pink,Flowermarketplace,Dendrobium,2177202,DENDROBIUM PRAMOTE,2025-05-03,2025-05-13,Dendrobium,,31.46,8f9a0e73-1a98-4ef5-b732-b2ec4900ae3a,1.0,,1,Bunch,31.46,,
Purple,Flowermarketplace,Dendrobium,2177203,DENDROBIUM PURPLE JOE,2025-05-03,2025-05-13,Dendrobium,Dendrobium Black Beauty,29.9,8f9a0e73-1a98-4ef5-b732-b2ec4900ae3a,1.0,,1,Bunch,29.9,c3be219f-4a7e-422d-b24a-c7561931e108,0.9955111145973206
Pink,Flowermarketplace,Dendrobium,2177204,DENDROBIUM QUEEN PINK,2025-05-03,2025-05-13,Dendrobium,Dendrobium Black Beauty,29.64,8f9a0e73-1a98-4ef5-b732-b2ec4900ae3a,1.0,,1,Bunch,29.64,c3be219f-4a7e-422d-b24a-c7561931e108,0.9933286905288696
Pink,Flowermarketplace,Dendrobium,2177205,DENDROBIUM RAINY PINK,2025-05-03,2025-05-13,Dendrobium,Dendrobium Black Beauty,29.9,8f9a0e73-1a98-4ef5-b732-b2ec4900ae3a,1.0,,1,Bunch,29.9,c3be219f-4a7e-422d-b24a-c7561931e108,0.9845621585845947
Purple,Flowermarketplace,Dendrobium,2177206,DENDROBIUM RED BULL,2025-05-03,2025-05-13,Dendrobium,Dendrobium Black Beauty,30.68,8f9a0e73-1a98-4ef5-b732-b2ec4900ae3a,1.0,,1,Bunch,30.68,c3be219f-4a7e-422d-b24a-c7561931e108,0.9918440580368042
Purple,Flowermarketplace,Dendrobium,2177207,DENDROBIUM RED SONIA,2025-05-03,2025-05-13,Dendrobium,Dendrobium Green,28.08,8f9a0e73-1a98-4ef5-b732-b2ec4900ae3a,1.0,,1,Bunch,28.08,10633535-fe12-4945-b403-38dfa654ff55,0.9932433366775513
Blue,Flowermarketplace,Dendrobium,2177208,DENDROBIUM RED SONIA BLUE,2025-05-03,2025-05-13,Dendrobium,Dendrobium Green,28.86,8f9a0e73-1a98-4ef5-b732-b2ec4900ae3a,1.0,,1,Bunch,28.86,10633535-fe12-4945-b403-38dfa654ff55,0.9932433366775513
Green,Flowermarketplace,Dendrobium,2177209,DENDROBIUM RED SONIA GREEN,2025-05-03,2025-05-13,Dendrobium,Dendrobium Green,28.86,8f9a0e73-1a98-4ef5-b732-b2ec4900ae3a,1.0,,1,Bunch,28.86,10633535-fe12-4945-b403-38dfa654ff55,0.9932433366775513
Red,Flowermarketplace,Dendrobium,2177210,DENDROBIUM RED SONIA RED,2025-05-03,2025-05-13,Dendrobium,Dendrobium Green,28.86,8f9a0e73-1a98-4ef5-b732-b2ec4900ae3a,1.0,,1,Bunch,28.86,10633535-fe12-4945-b403-38dfa654ff55,0.9932433366775513
Yellow,Flowermarketplace,Dendrobium,2177211,DENDROBIUM RED SONIA YELLOW,2025-05-03,2025-05-13,Dendrobium,Dendrobium Green,28.86,8f9a0e73-1a98-4ef5-b732-b2ec4900ae3a,1.0,,1,Bunch,28.86,10633535-fe12-4945-b403-38dfa654ff55,0.9932433366775513
Purple,Flowermarketplace,Dendrobium,2177212,DENDROBIUM ROSY RED,2025-05-03,2025-05-13,Dendrobium,Dendrobium Green,30.68,8f9a0e73-1a98-4ef5-b732-b2ec4900ae3a,1.0,,1,Bunch,30.68,10633535-fe12-4945-b403-38dfa654ff55,0.9952188730239868
Purple,Flowermarketplace,Dendrobium,2177213,DENDROBIUM SAKURA,2025-05-03,2025-05-13,Dendrobium,Dendrobium Green,29.64,8f9a0e73-1a98-4ef5-b732-b2ec4900ae3a,1.0,,1,Bunch,29.64,10633535-fe12-4945-b403-38dfa654ff55,0.9942092895507812
White,Flowermarketplace,Dendrobium,2177214,DENDROBIUM SANAN,2025-05-03,2025-05-13,Dendrobium,Dendrobium Sakura (stem),28.08,8f9a0e73-1a98-4ef5-b732-b2ec4900ae3a,1.0,,1,Bunch,28.08,c069c20b-5828-47e5-92f2-d655cf4db904,0.9641492366790771
Pink,Flowermarketplace,Dendrobium,2177216,DENDROBIUM STARLIGHT,2025-05-03,2025-05-13,Dendrobium,Dendrobium Black Beauty,29.9,8f9a0e73-1a98-4ef5-b732-b2ec4900ae3a,1.0,,1,Bunch,29.9,c3be219f-4a7e-422d-b24a-c7561931e108,0.9953200817108154
Pink,Flowermarketplace,Dendrobium,2177215,DENDROBIUM SUGAR PINK,2025-05-03,2025-05-13,Dendrobium,Dendrobium Blue Dyed,30.68,8f9a0e73-1a98-4ef5-b732-b2ec4900ae3a,1.0,,1,Bunch,30.68,45452586-4e22-4e52-a099-7ab321b78185,0.9948839545249939
Pink,Flowermarketplace,Dendrobium,2177217,DENDROBIUM SUPINYA,2025-05-03,2025-05-13,Dendrobium,,29.9,8f9a0e73-1a98-4ef5-b732-b2ec4900ae3a,1.0,,1,Bunch,29.9,,
Peach,Flowermarketplace,Dendrobium,2177218,DENDROBIUM SUREE PEACH,2025-05-03,2025-05-13,Dendrobium,Dendrobium Green,30.68,8f9a0e73-1a98-4ef5-b732-b2ec4900ae3a,1.0,,1,Bunch,30.68,10633535-fe12-4945-b403-38dfa654ff55,0.9615115523338318
Pink,Flowermarketplace,Dendrobium,2177220,DENDROBIUM TAWAN PINK,2025-05-03,2025-05-13,Dendrobium,Dendrobium Green,30.68,8f9a0e73-1a98-4ef5-b732-b2ec4900ae3a,1.0,,1,Bunch,30.68,10633535-fe12-4945-b403-38dfa654ff55,0.973860502243042
Bicolor,Flowermarketplace,Dendrobium,2177221,DENDROBIUM TWOTONE,2025-05-03,2025-05-13,Dendrobium,Dendrobium Double Lei White,30.68,8f9a0e73-1a98-4ef5-b732-b2ec4900ae3a,1.0,,1,Bunch,30.68,b14c633a-ea3f-47f5-b829-ce4baaab5d6a,0.9586832523345947
Pink,Flowermarketplace,Dendrobium,2177222,DENDROBIUM VAILAI,2025-05-03,2025-05-13,Dendrobium,Dendrobium Big White ,29.64,8f9a0e73-1a98-4ef5-b732-b2ec4900ae3a,1.0,,1,Bunch,29.64,c069c20b-5828-47e5-92f2-d655cf4db904,0.9259966611862183
Peach,Flowermarketplace,Dendrobium,2177219,DENDROBIUM VAILAI JINDA,2025-05-03,2025-05-13,Dendrobium,Dendrobium Double Lei Red Sonia,30.68,8f9a0e73-1a98-4ef5-b732-b2ec4900ae3a,1.0,,1,Bunch,30.68,0d79dc5e-eefc-4b77-91ee-c39d260e751d,0.9238455295562744
Pink,Flowermarketplace,Dendrobium,2177223,DENDROBIUM YING PINK,2025-05-03,2025-05-13,Dendrobium,Dendrobium Green,30.68,8f9a0e73-1a98-4ef5-b732-b2ec4900ae3a,1.0,,1,Bunch,30.68,10633535-fe12-4945-b403-38dfa654ff55,0.9865664839744568
Green,Flowermarketplace,Greens,2162200,EUCALYPTUS Baby blue 200 Green,2025-05-03,2025-05-13,,Eucalyptus Baby Blue,11.47,,,,1,Bunch,15.4,7d8ce12e-2d95-4d61-8534-2d6a40b83470,0.9602115154266357
Green,Flowermarketplace,Greens,2162201,EUCALYPTUS Baby blue 300gr,2025-05-03,2025-05-13,,Eucalyptus Baby Blue,16.85,,,,1,Bunch,22.63,7d8ce12e-2d95-4d61-8534-2d6a40b83470,0.9309341907501221
Green,Flowermarketplace,Greens,2162202,EUCALYPTUS Cinerea 200 Green,2025-05-03,2025-05-13,,Eucalyptus Cinerea,11.94,,,,1,Bunch,16.03,c069c20b-5828-47e5-92f2-d655cf4db904,0.9741595983505249
Green,Flowermarketplace,Greens,2162203,EUCALYPTUS Cinerea 300gr,2025-05-03,2025-05-13,,Eucalyptus Cinerea,17.32,,,,1,Bunch,23.26,c069c20b-5828-47e5-92f2-d655cf4db904,0.9454026818275452
Green,Flowermarketplace,Greens,2162204,EUCALYPTUS Parvifolia 200 Green,2025-05-03,2025-05-13,,Eucalyptus Parvifolia,9.6,,,,1,Bunch,12.89,9bf77417-3ff1-44a7-9da2-3a1e5a38d570,0.9803522825241089
Green,Flowermarketplace,Greens,2162205,EUCALYPTUS Parvifolia 300gr,2025-05-03,2025-05-13,,Eucalyptus Parvifolia,13.47,,,,1,Bunch,18.09,9bf77417-3ff1-44a7-9da2-3a1e5a38d570,0.964155912399292
Green,Flowermarketplace,Greens,2162206,EUCALYPTUS Populus 200 Green,2025-05-03,2025-05-13,,Eucalyptus Populus Per Bunch (5st/bu),10.06,,,,1,Bunch,13.51,1b2aab98-16b9-4efe-a8f3-0996b9b01467,0.9289219975471497
