competitor,competitor_product_id,competitor_product_name,competitor_product_group_name,unit,stem_length,stems_per_unit,stem_price,created_at,eta_date
FlowerMarketplace,2276978,ASTRANTIA STAR OF AFRICA,Astrantia,Stems,60,1,1.73,2025-06-02,2025-06-10
FlowerMarketplace,2276980,ASTRANTIA STAR OF LOVE,Astrantia,Stems,50,1,1.33,2025-06-02,2025-06-10
FlowerMarketplace,2276982,ASTRANTIA STAR OF LOVE,Astrantia,Stems,50,1,1.15,2025-06-02,2025-06-10
FlowerMarketplace,2261200,BIRD OF PARADISE,Tropical,Stems,,1,1.63,2025-06-02,2025-06-10
FlowerMarketplace,2163740,BOUQUET MEDIUM CONFETI,Tropical,Bunch,,1,23.38,2025-06-02,2025-06-10
FlowerMarketplace,2163742,BOUQUET MEDIUM LUA PINK,Tropical,Bunch,,1,23.38,2025-06-02,2025-06-10
FlowerMarketplace,2163744,BOUQUET MEDIUM MAUI,Tropical,Bunch,,1,23.38,2025-06-02,2025-06-10
FlowerMarketplace,2163746,BOUQUET MEDIUM PARROT,Tropical,Bunch,,1,23.38,2025-06-02,2025-06-10
FlowerMarketplace,2163748,BOUQUET MEDIUM RAINBOW,Tropical,Bunch,,1,23.38,2025-06-02,2025-06-10
FlowerMarketplace,2160626,BRASSICA ASSORTED,Brassica,Stems,,1,1.87,2025-06-02,2025-06-10
FlowerMarketplace,2160628,BRASSICA LAVENDER CRANE,Brassica,Stems,,1,1.87,2025-06-02,2025-06-10
FlowerMarketplace,2160630,BRASSICA RED CRANE,Brassica,Stems,,1,1.87,2025-06-02,2025-06-10
FlowerMarketplace,2160632,BRASSICA WHITE CRANE,Brassica,Stems,,1,1.87,2025-06-02,2025-06-10
FlowerMarketplace,2160634,CALLAS ALEGRIA,Calla Lily,Stems,,1,2.32,2025-06-02,2025-06-10
FlowerMarketplace,2160636,CALLAS ASPEN,Calla Lily,Stems,,1,2.32,2025-06-02,2025-06-10
FlowerMarketplace,2160638,CALLAS ASPEN BLUSH,Calla Lily,Stems,,1,2.32,2025-06-02,2025-06-10
FlowerMarketplace,2160640,CALLAS ASSORTED,Calla Lily,Stems,,1,2.32,2025-06-02,2025-06-10
