competitor_product_id,competitor,matched_ibuyflowers,matched_variety
4409518522467,Gypsophila Million Stars (Baby's Breath)  12 Bunches ($10.54 Per Bunch),Astrantia Million Stars White,c716608f-f9b7-43a3-a96c-30a0a972171f
9315451699509,Gypsophila Rose Pink (Tinted)  12 Bunches ($10.75 Per Bunch),Null,Null
6841507086435,Gypsophila Terracotta (Tinted)  12 Bunches ($10.75 Per Bunch),Null,Null
9315447374133,Gypsophila Titanium (Tinted)  12 Bunches ($10.75 Per Bunch),Null,Null
6841499418723,Gypsophila White Force  12 Bunches ($10.54 Per Bunch),Null,Null
4409560432739,Gypsophila Xlence (Baby's Breath)  12 Bunches ($10.54 Per Bunch),Null,Null
9309236953397,Hanoi Carnation ,Carnation Hanoi Pink,fd43fb18-bb7f-42cd-984e-31d0c23ff776
4405927477347,Hanoi Success Cloni (Clooney) Ranunculus 40 ,Blush Clooney Hanoi Ranunculus,e45339b2-b0f9-4b98-8891-58517af14f32
1793832058941,Hard Rock Rose,Null,Null
8534415671605,Havana Rose,Habana La Pink Roses,99a8830c-28f1-4aba-a36f-3dfdc89bb6e8
1772238864445,Hearts Garden Rose,Garden Hearts Red Roses,a97f7f40-7df5-4218-894c-3b960804ca6c
4664574050403,Hebes ,Green Hebes,7477eac8-f207-41d6-b543-70c9845890b7
8078653817141,Helena Alstroemeria ,Null,Null
8538541883701,Heliana Orange Rose,Null,Null
6684615278691,Hermes Orange Carnation ,Carnation Hermes Orange,4eeddf00-be01-4974-973f-252facd67594
6684616097891,Hermes Yellow Carnation ,Carnation Hermes Orange,4eeddf00-be01-4974-973f-252facd67594
1790079172669,Hermosa Rose,Hermosa Pink Roses,b38833fc-ce8d-491b-8706-d06b7b06ed45
8541459153205,High & Candy Rose,Null,Null
8541502767413,High & Exotic Rose,& Exotic High Roses Yellow,dc7d08f2-2f09-4a9a-925d-aa0a405e994c
8541586522421,High & Magic Rose,& High Magic Roses Yellow,3d79707e-8248-40c3-b2c6-468ee560e909
8541744693557,High & Orange Magic Rose,& High Magic Roses Yellow,3d79707e-8248-40c3-b2c6-468ee560e909
8541763633461,High & Yellow Flame Rose,Null,Null
8543920062773,High & Yellow Magic Rose,& High Magic Roses Yellow,3d79707e-8248-40c3-b2c6-468ee560e909
1771943919677,Highlight Rose,Null,Null
8543759204661,Hilux Rose,Hilux Orange Roses,01e72609-7ca9-4bcf-a3ac-7a73372e4e6e
8078656831797,Honey Bell Alstroemeria ,Null,Null
6853496733795,Hornbill Rose,Hornbil Orange Roses,f245b92c-1021-4823-a418-73c1238e84bb
8389785878837,Hot Explorer Rose,Explorer Hot Pink Roses,413482fe-8346-4bb3-96fe-3c039d24e137
4407234789475,Hot Majolika Spray Rose,Hot Majolika Pink Roses Spray,50b1e5e0-cb6b-4d31-a4b5-d3811cc6d2b9
