competitor_product_id,competitor,matched_ibuyflowers,variety_key
2131064,Aster Solidago Yellow Open Cut Select,Yellow Solidago Aster,68f17b17-2f71-48e6-af9c-8a4f5fe850e0
1890745,Aster Tinted Red Solidago Select,Red Solidago Aster,eca839c0-4102-41e2-8158-315c1df8fb45
1836683,ASTER YELLOW SOLIDAGO,Yellow Solidago Aster,68f17b17-2f71-48e6-af9c-8a4f5fe850e0
2182514,Astilbe White,White Astilbe,94982803-c4db-4dcc-8f95-82d92ae8ab32
2211830,Astrantia Assorted,Mixed Assorted Astrantia,0ae9b10f-f156-4433-af78-21684f6ae2c3
2270107,Astrantia Assorted,Mixed Assorted Astrantia,0ae9b10f-f156-4433-af78-21684f6ae2c3
2212074,Astrantia Burgundy,Burgundy Astrantia,64c28247-d0d7-48de-b89d-9977f6cb5a80
2214861,Astrantia Pink,Pink Light Astrantia,2866cb45-f725-4a0a-bd05-bd142052a02a
2221165,AUSTRALIAN MIX MIX  MIX,Null,Null
2134966,Baby Blue Euc Green,Green Baby Blue Eucalyptus,6f5d478f-b433-4da6-a445-ebc8502852f7
2220775,Baby Blue Euc GREEN,Green Baby Blue Eucalyptus,6f5d478f-b433-4da6-a445-ebc8502852f7
2270310,Bayleaf Green,Null,Null
2270312,Bayleaf Green,Null,Null
2220769,Beargrass Green,Green Bear Grass Grasses,43118535-ce2a-4a7e-ab91-392771ac91ba
2134968,Beargrass Green,Green Bear Grass Grasses,43118535-ce2a-4a7e-ab91-392771ac91ba
2258295,BIRCH BRANCHES Gold With GLITTER,Null,Null
2271358,BIRCH BRANCHES White FROSTED SNOW ,Null,Null
2143945,Bouquet Salal Green Bqt,Green Salal,239f9b66-f621-45d5-8eda-50fb91d7c753
2131085,Brassica Kale Assorted,Null,Null
2227763,Calathea Green ZEBRINA,Null,Null
2131100,Calla Green Goddess,Green Goddess Calla's,aba06708-f832-4cc7-8b7d-2d4aa17d2904
2211971,Calla Mini Assorted,Mixed Assorted Mini Calla,cf6bb0ff-f433-4341-833a-e0d50faa64bf
2274276,Calla Mini Black,Black Mini Calla,f43a2f7c-75e5-4bd6-9563-3d4a85702448
2264378,Calla Mini Purple,Purple Mini Calla,472caf29-a349-4314-bba8-43acb3357868
2131106,Calla White Magnum,Null,Null
2131116,Calla White Premium,White Premium Cm Calla's,466ef34b-68b0-447e-b9ec-851f19ef42ee
2131120,Calla White Select,White Natural Regular Cut Calla's,a966c3de-c4eb-4065-a89b-d9cdb4793c2b
2216971,Callas with Leaf White,White Natural Regular Cut Calla's,a966c3de-c4eb-4065-a89b-d9cdb4793c2b
2274277,Campanula Purple,Purple Campanula,ab43b132-ced7-4644-b458-756d0015cc76
2274139,Carnation Hot Pink Select,Pink Hot Carnation,e3a3412a-6db4-4f05-8139-78436cf8de20
2269886,CARNATION PEPERMINT NAVIDAD SELECT,Peppermint Carnation,92b0e80d-9e76-44fd-9ddc-6d09c4d7d258
2096090,CARNATION WHITE SELECT,White Carnation,091560ba-78a3-4c6c-b0f6-3729d9a26b38
2131178,Carns Assorted Select,Mixed Carnation Assorted,f829aa58-42d0-4a8c-9fc2-cf7b57d99cb3
1886969,Carns Bi Color Burgundy Nobbio Burgundy Std,Burgundy Nobbio Carnation,Null
1857939,Carns Florigene Assorted Select,Null,Null
1859014,Carns Florigene Moonshade Purple Select,Purple Moon Roses,61b349b4-8178-4323-8484-e83b6cc866ab
2131321,Carns Hot Pink Bizet Select,Pink Bizet Carnation,90e193ff-c642-4aa0-a679-a3f5120f42e4
2085704,Carns Hot Pink Cervantes Select,Pink Hot Mini Carnation Spray,761eb3d0-4d87-4597-8c7e-6dee90ff7ef0
2085706,Carns Hot Pink Cervantes Std,Null,Null
2263141,Carns Hot Pink Oviedo Select,Pink Hot Carnation,e3a3412a-6db4-4f05-8139-78436cf8de20
2072924,Carns Hot Pink Zeppelin Select,Pink Zeppelin Carnation,6386e64c-7f8c-4c7d-a5b7-88837c071ce1
1995013,Carns M Day Pack Select,Null,Null
2097700,Carns Minami Assorted Select,Mixed Excl. Japanese Minami Assorted Carnation,4f474f85-6370-4301-bf65-53bd9d6ca083
1857992,Carns Novelty Assorted Select,Mixed Novelty Assorted Carnation,662d86f9-a874-4d93-9bf0-26021fe24294
1858001,Carns Orange Lion King Select,Null,Null
1876453,Carns Orange Megan Std,Orange Megane Carnation,997bb63c-09a0-4ba3-8524-9aaf3b129b2e
1951169,Carns Pink Ilusion Std,Null,Null
2228317,Carns Purple Damascus Std,Null,Null
2274262,Carns Rainbow CBU,Null,Null
2228799,Carns Tinted Radiant Cotton Candy Select,Cream Carnation,0328d60c-8301-466a-8291-0772bc6e1ac6
2235928,Carns Tinted Radiant Rainbow CCT  Select,Null,Null
2136842,Carns Vintage Pink Creola Select,Pink Creola Carnation,a3f3fd29-8c4f-4da9-a946-def84de0fcaf
2254427,Carns Vintage Pink Turron Select,Null,Null
1889627,Carns Vintage Red Cover Wine Select,Null,Null
1858059,Carns Vintage Dusty Pink Lege Pink Select,Pink Lege Carnation,73412d93-71dd-4cbb-b3a8-f41f1094823c
2131477,Carns Vintage Mix Select,Null,Null
2176852,Carns Vintage Peach Honey Select,Peach Caramel Carnation,06498ffd-e8a2-4310-9c01-86e086fa88bc
2077151,Carns Vintage Peach Lege Marrone Std,Peach Carnation,7930d085-6b9d-4ed5-9ea4-30b0e9367ffd
1859518,Carns Vintage Terracota Caramel Select,Peach Caramel Carnation,06498ffd-e8a2-4310-9c01-86e086fa88bc
1858073,Carns White Moonlight Select,White Moon Light Carnation,342a64ae-407a-476b-8d21-0ef98fcd7bc8
1860422,Carns White Moonlight Std,White Moon Light Carnation,342a64ae-407a-476b-8d21-0ef98fcd7bc8
2219750,Cat Palm Geen,Null,Null
2172357,Cat Palm Green,Null,Null
