competitor_product_id,competitor,matched_ibuyflowers,matched_variety
2162208,Eucalyptus Stuartiana 200 Green,Null,Null
2162209,Eucalyptus Stuartiana 300Gr,Null,Null
2162210,Eucalyptus Stuartiana Fall 200 Green,Null,Null
2162211,Eucalyptus Stuartiana Fall 300Gr,Null,Null
2193417,Flower Assorted,Null,Null
2170949,Flower Bqt,Null,Null
2170950,Flower Bqt,Null,Null
2170951,Flower Bqt,Null,Null
2271452,Flower Bqt,Null,Null
2271453,Flower Bqt,Null,Null
2161257,Football Assorted,Null,Null
2161259,Football Lavender,Null,Null
2161261,Football Pink,Null,Null
2161263,Football White,Chrysanthemum Disbuds/ Football Mums White,52e91d31-5f13-4ac0-bf00-aeb5f7edf7a0
2161265,Football Yellow,Null,Null
2157720,Garden Rose Coqueta,Null,Null
2158448,Garden Rose Mayra Bridal Pink,Garden Mayras Pink Queen Roses,4fc3b39c-7361-4f77-bf42-6169eb28c506
2219838,Garden Rose Mayra Hot Pink Garden Roses,Garden Hot Mayras Pink Roses,4430bdb3-30d5-4a3f-a353-07919d5e3bed
2219808,Garden Rose Mayra Peach,Garden Mayras Peach Roses Salmon,2fc0dedf-e804-4325-8d35-42b4f0335cfc
2219810,Garden Rose Mayra Red,Garden Mayras Red Roses,59ffa0fc-74ea-4719-89f7-8144f48c0a4d
2158450,Garden Rose Mayra Rose,Garden Mayras Red Roses,59ffa0fc-74ea-4719-89f7-8144f48c0a4d
2219806,Garden Rose Mayra White,Cream Garden Mayras Roses White,e37b6275-5723-446c-a101-becc9486686d
2158456,Garden Rose Piano,Garden Piano Red Roses,e65248ad-f61d-4870-9bd1-1e56657f7b5b
2158460,Garden Rose Pink Piano,Bridal Garden Piano Pink Roses,dcb54dcf-cff2-4cd2-99bf-3ec2be2e2593
2158464,Garden Rose Quicksand,Cream Quicksand Roses,12a5d6ab-de33-4820-898c-f4087830082f
