competitor,competitor_product_id,competitor_product_name,competitor_product_group_name,competitor_product_group_id,state,color,stem_length,stems_per_unit,unit_price,stem_price,base_price,freight_price,margin,available_units,grower_name,grower_country,highlight_name,cleaned_name_used,product_group_key,created_at,eta_date
Mayesh,1822884,Alstroemeria Pink/White Super Select,Alstroemeria,490,Kentucky,Pink/White,,120,114.0,0.95,0.37,0.36,37.5,6,C.I. Flores De Funza,Colombia,,Alstroemeria Pink/White Super Select,490,2025-06-02,2025-06-10
Mayesh,484068,Alstroemeria Primadonna Pink Fancy,Alstroemeria,490,Kentucky,Pink,,150,115.5,0.77,0.27,0.34,37.5,0,,Colombia,,Alstroemeria Primadonna Pink Fancy,490,2025-06-02,2025-06-10
Mayesh,484070,Alstroemeria Primadonna Pink Select,Alstroemeria,490,Kentucky,Pink,,150,120.0,0.8,0.29,0.34,37.5,9,,Colombia,,Alstroemeria Primadonna Pink Select,490,2025-06-02,2025-06-10
Mayesh,484069,Alstroemeria Primadonna Pink Super Select,Alstroemeria,490,Kentucky,Pink,,120,114.0,0.95,0.33,0.42,37.5,6,,Colombia,,Alstroemeria Primadonna Pink Super Select,490,2025-06-02,2025-06-10
Mayesh,646524,Alstroemeria Shakira Green Select,Alstroemeria,490,Kentucky,Green,,100,88.0,0.88,0.39,0.26,37.5,6,Queens Flowers,Colombia,,Alstroemeria Shakira Green Select,490,2025-06-02,2025-06-10
Mayesh,484108,Alstroemeria Tampa Orange Fancy,Alstroemeria,490,Kentucky,Orange,,150,124.5,0.83,0.31,0.34,37.5,10,,Colombia,,Alstroemeria Tampa Orange Fancy,490,2025-06-02,2025-06-10
Mayesh,484110,Alstroemeria Tampa Orange Select,Alstroemeria,490,Kentucky,Orange,,150,135.0,0.9,0.35,0.34,37.5,8,,Colombia,,Alstroemeria Tampa Orange Select,490,2025-06-02,2025-06-10
Mayesh,645935,Alstroemeria Voyager Yellow Fancy,Alstroemeria,490,Kentucky,Yellow,,150,117.0,0.78,0.31,0.29,37.5,9,C.I. Flores De Funza,Colombia,,Alstroemeria Voyager Yellow Fancy,490,2025-06-02,2025-06-10
Mayesh,645936,Alstroemeria Voyager Yellow Select,Alstroemeria,490,Kentucky,Yellow,,150,127.5,0.85,0.35,0.29,37.5,10,C.I. Flores De Funza,Colombia,,Alstroemeria Voyager Yellow Select,490,2025-06-02,2025-06-10
Mayesh,1052764,Alstroemeria Whistler White Fancy,Alstroemeria,490,Kentucky,White,,150,135.0,0.9,0.35,0.34,37.5,20,,Colombia,,Alstroemeria Whistler White Fancy,490,2025-06-02,2025-06-10
Mayesh,1052765,Alstroemeria Whistler White Select,Alstroemeria,490,Kentucky,White,,150,147.0,0.98,0.4,0.34,37.5,20,,Colombia,,Alstroemeria Whistler White Select,490,2025-06-02,2025-06-10
Mayesh,1052766,Alstroemeria Whistler White Super Select,Alstroemeria,490,Kentucky,White,,120,139.2,1.16,0.46,0.42,37.5,10,,Colombia,,Alstroemeria Whistler White Super Select,490,2025-06-02,2025-06-10
Mayesh,483806,Alstroemeria White Fancy,Alstroemeria,490,Kentucky,White,,150,117.0,0.78,0.31,0.29,37.5,9,C.I. Flores De Funza,Colombia,,Alstroemeria White Fancy,490,2025-06-02,2025-06-10
Mayesh,483808,Alstroemeria White Select,Alstroemeria,490,Kentucky,White,,150,127.5,0.85,0.35,0.29,37.5,20,C.I. Flores De Funza,Colombia,,Alstroemeria White Select,490,2025-06-02,2025-06-10
Mayesh,483807,Alstroemeria White Super Select,Alstroemeria,490,Kentucky,White,,120,123.6,1.03,0.42,0.36,37.5,19,C.I. Flores De Funza,Colombia,,Alstroemeria White Super Select,490,2025-06-02,2025-06-10
Mayesh,513365,Anemone Assorted,Anemone,495,Kentucky,Assorted,,120,223.2,1.86,1.01,0.25,37.5,10,,Ecuador,,Anemone Assorted,495,2025-06-02,2025-06-10
