competitor,competitor_product_id,competitor_product_name,competitor_product_group_name,competitor_product_group_id,color,stem_length,stems_per_unit,unit_price,price_per_stem,base_price,freight_price,margin,available_units,grower_name,grower_country,product_url,image_url,matched_variety_name,variety_key,variety_score,cleaned_name_used,matched_product_group_name,product_group_key,product_group_score,created_at,eta_date
Mayesh,4265221,Rose Symbol Brown,Rose,900,Brown,40,100,134.0,1.34,0.52,0.51,37.5,10,,Ecuador,https://www.mayesh.com/rose-symbol-brown-40-cm,https://www.mayesh.com/backend/files/flowers/rose-symbol-brown.jpg,,,,brown rose symbol,Roses,7a68bebd-2346-4e73-9906-a7665c22ce20,0.9598855972290039,2025-05-14T12:40:34.556208,2025-05-23
Mayesh,4265221,Rose Symbol Brown,Rose,900,Brown,40,48,105.12,2.19,1.06,0.5,37.5,5,Alexandra Farms,Colombia,https://www.mayesh.com/rose-symbol-brown-40-cm,https://www.mayesh.com/backend/files/flowers/rose-symbol-brown.jpg,,,,brown rose symbol,Roses,7a68bebd-2346-4e73-9906-a7665c22ce20,0.9598855972290039,2025-05-14T12:40:34.620607,2025-05-23
Mayesh,4265237,Rose Symbol Brown,Rose,900,Brown,50,100,153.0,1.53,0.64,0.51,37.5,5,,Ecuador,https://www.mayesh.com/rose-symbol-brown-50-cm,https://www.mayesh.com/backend/files/flowers/rose-symbol-brown.jpg,,,,brown rose symbol,Roses,7a68bebd-2346-4e73-9906-a7665c22ce20,0.9598855972290039,2025-05-14T12:40:34.681294,2025-05-23
Mayesh,487723,Rose Tara Gold,Rose,900,Gold,40,100,123.0,1.23,0.45,0.51,37.5,15,,Ecuador,https://www.mayesh.com/rose-tara-gold-40-cm,https://www.mayesh.com/backend/files/flowers/rose-tara-gold.jpg,,,,gold rose tara,Roses,7a68bebd-2346-4e73-9906-a7665c22ce20,0.9598855972290039,2025-05-14T12:40:34.751041,2025-05-23
Mayesh,487724,Rose Tara Gold,Rose,900,Gold,50,100,134.0,1.34,0.52,0.51,37.5,10,,Ecuador,https://www.mayesh.com/rose-tara-gold-50-cm,https://www.mayesh.com/backend/files/flowers/rose-tara-gold.jpg,,,,gold rose tara,Roses,7a68bebd-2346-4e73-9906-a7665c22ce20,0.9598855972290039,2025-05-14T12:40:34.803195,2025-05-23
Mayesh,8700190,Rose Teddy's Light Brown,Rose,900,Light Brown,50,100,340.0,3.4,1.81,0.51,37.5,1,,Ecuador,https://www.mayesh.com/rose-teddys-light-brown-50-cm,https://www.mayesh.com/backend/files/flowers/rose_teddy_light_brown.jpg,,,,brown light rose s teddy,Roses,7a68bebd-2346-4e73-9906-a7665c22ce20,0.9598855972290039,2025-05-14T12:40:34.854766,2025-05-23
Mayesh,8700191,Rose Teddy's Light Brown,Rose,900,Light Brown,60,100,377.0,3.77,2.04,0.51,37.5,1,,Ecuador,https://www.mayesh.com/rose-teddys-light-brown-60-cm,https://www.mayesh.com/backend/files/flowers/rose_teddy_light_brown.jpg,,,,brown light rose s teddy,Roses,7a68bebd-2346-4e73-9906-a7665c22ce20,0.9598855972290039,2025-05-14T12:40:34.909912,2025-05-23
Mayesh,487743,Rose Tibet White,Rose,900,White,40,100,131.0,1.31,0.5,0.51,37.5,6,,Ecuador,https://www.mayesh.com/rose-tibet-white-40-cm,https://www.mayesh.com/backend/files/flowers/rose-tibet-white.jpg,,,,rose tibet white,Roses,7a68bebd-2346-4e73-9906-a7665c22ce20,0.9598855972290039,2025-05-14T12:40:34.965066,2025-05-23
Mayesh,487744,Rose Tibet White,Rose,900,White,50,100,148.0,1.48,0.61,0.51,37.5,9,,Ecuador,https://www.mayesh.com/rose-tibet-white-50-cm,https://www.mayesh.com/backend/files/flowers/rose-tibet-white.jpg,,,,rose tibet white,Roses,7a68bebd-2346-4e73-9906-a7665c22ce20,0.9598855972290039,2025-05-14T12:40:35.025971,2025-05-23
Mayesh,487745,Rose Tibet White,Rose,900,White,60,100,167.0,1.67,0.73,0.51,37.5,1,,Ecuador,https://www.mayesh.com/rose-tibet-white-60-cm,https://www.mayesh.com/backend/files/flowers/rose-tibet-white.jpg,,,,rose tibet white,Roses,7a68bebd-2346-4e73-9906-a7665c22ce20,0.9598855972290039,2025-05-14T12:40:35.085664,2025-05-23
Mayesh,487748,Rose Tiffany Peach,Rose,900,Peach,40,100,126.0,1.26,0.47,0.51,37.5,9,,Ecuador,https://www.mayesh.com/rose-tiffany-peach-40-cm,https://www.mayesh.com/backend/files/flowers/rose-tiffany-peach.jpg,Tiffany Roses peach,78867b37-5d94-48a9-a694-1889b1b8cf1f,0.9754667282104492,peach rose tiffany,Roses,7a68bebd-2346-4e73-9906-a7665c22ce20,0.9598855972290039,2025-05-14T12:40:35.146961,2025-05-23
