product_name,competitor_product_id
Leatherleaf Lg Green Imported SLEEVED,2135010
Leatherleaf XL Green Imported SLEEVED,2149039
LEPIDIUM GREEN DRAGON PREMIUM,2274170
LEPIDIUM Green GREEN DRAGON,2223372
Leucadendron Goldstrike,1860358
Leucadendron SPX Assorted yellow Red,2273728
Leucadendron SPX Red Eclipse,2236362
Leucadendron SPX Red Eclipse,2211883
LILIES WHITE OT FOREVER  b,2261123
Lily Assorted Hybrid,1858170
Lily Assorted Oriental,1858172
LILY GRASS,2274020
Lily Grass Green,2273838
Lily Grass Green GREEN,2135012
Lily Grass GREEN GREEN,2220307
Lily Grass Mix,2138239
LILY LA ASSORTED,144
LILY LA PINK,148
Lily MDay Pack Hybrid White Pink ,2273729
LILY ORIENTAL SIBERIA,328993
LILY ORIENTAL WHITE,612121
Lily Pink Oriental Rubiano,2231199
Lily Red Hybrid Ducati,2211950
Lily White Hybrid Bach,2141664
Lily White Oriental,2273297
Lily White Oriental,2273299
Lily White Oriental Castellani ,2255717
Lily White Oriental Double Snowboard,2148494
Lily White Oriental Forever,2274152
Lily White Oriental Monteneu,2255758
Lily White Oriental Santander,2273372
Lily White Oriental Santander,2215963
Lily White Oriental Siberia,2140736
Lily White Oriental Siberia,1859117
Lily White Oriental Zambesi,2274153
Lily White Oriental Zambesi,1865530
Lily Yellow Hybrid Cevennes,2263405
Lily Yellow Hybrid Dazzle,2131816
LIMONIUM ASSORTED,328985
Limonium Blue Misty,1858195
Limonium Blue Misty,2182520
LIMONIUM PINA COLADA,1977120
LIMONIUM PURPLE,1899645
Limonium White Diamond,1956608
Limonium White Misty,1858204
Limonium White Sinensis,1859269
Limonium Yellow Diamond,2188586
Lisianthus White,2274289
Magnolia Branches Green,2273793
MAIDENHAIR GREEN ,2224595
Massangeana Variegated,2273513
MCallaZantedeschia Assorted,2271555
Mexican Myrtle Green,2135016
MICRO YELLOW POM NOVELTY,1907065
Ming Fern Green,2135018
Mini Calla Bi Color purple white Picasso,2138618
Mini Calla Black Odessa,1861394
MINI CARNATION NOVELTY,327072
Mini Pineapple,2141538
Minis Assorted,1858213
Minis Bi Color Red white Scarlette,2229023
Minis BiColor DP Cosmo Cherry,2269796
Minis Burgundy Chauteau,1860425
Minis Hot Pink Pigeon,2131931
Minis Lavender Melissa,1858216
Minis Light Pink Athena,2135147
Minis Light Pink Ornella,2132077
Minis Light Pink Roxane,1859385
Minis M Day Pack,1858230
Minis Novelty Assorted,1858232
Minis Orange Lina,2211501
Minis Orange Romany,1858235
Minis Pink Pigeon,1863259
Minis Purple Epsilon,2211503
Minis Purple Vega,2132129
Minis Red Aragon,2132137
Minis Red Zumba,1876994
Minis White Mantua,2211657
Minis White Mimo,2132160
Minis White Paloma,2211659
Minis White Selene,1858257
Minis Yellow Caesar,2136851
Minis Yellow Xhante,1858260
MONDIAL RAINBOW DYED,770294
Monstera Green Florida XSmall,2220823
Monstera Green Large Costa Rica,2138971
Monstera Green Med Florida,2135020
Monstera Green Med Costa Rica,2138242
Monstera Green Mix Costa Rica,2138243
Monstera Green Mix Florida,2138244
Monstera Green Small Costa Rica,2144098
Monstera Green Small Florida,2138245
Monstera Leaves Small,1865854
Moss Mood GREEN CLUMP  Volumetric,2144503
Moss Sheet  Volumetric,2135021
Moss Spanish GREY DRY  Volumetric,2135023
MUM BALL BOMBELLINI,1886948
Mums Assorted Cremon,1858263
Mums Assorted Special Pack Cremon,2132205
Mums Balls Assorted,1859017
Mums Balls Green Bombellini,1859564
Mums Balls Purple Aragon,2235978
Mums Lavender Spider Pinkray,2085741
Mums Purple Cremon Andrea,2138624
Mums Purple Cremon Lotso,2266771
Mums White FOOTBALL,2264329
Mums White Spider Topspin,2084123
Mums Yellow Football Albatros,1860225
Mums Yellow SPIDER CALAFURIA SUNNY,2247365
Myrtle Green GREEN,2135025
Myrtle GREEN GREEN,2220876
Natural Grevillea,2145080
Olive Branches Green FLORIDA,2138246
Orchid Assorted Cymbidium,2203345
Orchid White Cymbidium,2203349
Orchid Yellow Cymbidium,2205646
Oregonia Bunches Green,2135029
Oriental Lily Burgundy,2196191
Oriental Lily Mix,2172883
Oriental Lily White,2161864
Oriental Lily White,2263711
ORLAYA White,2270958
Palmetto Fans Green,2135031
Palmetto Fans GREEN,2220148
Pampas Grass BEIGE FRESH,2242892
Pampas Grass BEIGE FRESH,2220984
Peonies Light Pink,2274295
Peonies Pink Sarah bernhardt,2274296
Peony White Duchess de Nemo,1861281
Pincushions Assorted,2229867
Pincushions High Gold,2230897
Pincushions Tango (Red),2236570
Pincushions Tiara (Orange),2236475
pine cones Sugar Medium,2258622
Pitt Green Green,2135033
Pitt Green GREEN,2220762
Pitt Variegated Imported,2166772
Pitt Variegated Variegated,2138248
Pitt Variegated VARIEGATED,2220041
PITTOSPORUM GREEN,126
PITTOSPORUM SILVER QUEEN,2229759
PITTOSPORUM VARIAGATED,326423
Plumosus Green,2144261
Plumosus Green Imported,2135035
Podocarpus Green,2135037
Pom Assorted CDN,2132348
Pom Purple Bi Color Daisy Handsome,1863948
Pom Tinted Daisy Assorted,2138649
Pom White with Black Center Novelty Ying Yang,2211434
Protea Pin Cushion Assorted,1865545
Protea SPX Pink Ice,2214391
Pussy Willow Fantail Medium,2211556
Pussy Willow MEDIUM Medium,2263610
QUEEN ANNES LACE WHITE (Ammi Majus),2229790
Queen Anns Lace White,2236491
Queen Anns Lace White,2184613
QUICKSAND,326108
RANUNCULUS RED,325396
RANUNCULUS WHITE WHITE ADOR,2223599
Red Huck Red,2135039
RICE FLOWER Pink,2270646
Robellini Green,2135041
Robellini Green,2138252
Robellini Green,2138254
Robellini Green,2220144
Robellini Green,2135045
ROSA DOUBLE PARTY,1865621
ROSE BICOLOR BOULEVARD,2274171
ROSE BICOLOR COFFE LOVE,2274206
