competitor_product_id,product_name
54799,Pom Pon Nov Green Alemani
23740,Rose White Eskimo
30236,Rose White Eskimo
30801,Rose White Eskimo
53809,Rose White Eskimo
30751,Rose White Eskimo
23307,Pom Pon Yellow Daisy Atlantis
60956,Pom Pon Yellow Daisy Atlantis
54700,Pom Pon Peach Cushion
40679,Rose Lavender Menta
49682,Pom Pon Green Butt WhatsApp
68774,Rose Yellow Cancun
26707,Rose Yellow Cancun
24077,Rose Yellow Cancun
31190,Aster Assorted Mardi Gras
60630,Aster Assorted
29751,Aster Assortedarnival Duplos
57180,Aster Assorted Tint Solidago Spring
56855,Aster Yellow Solidago
20540,Aster Yellow Solidago
20591,Aster Yellow Solidago Mardi Green
20551,Aster Yellow Solidago Queen's
57092,Aster Yellow Soldiago Golden Glory
24264,Rose Pink Sweet Unique
27323,Rose Pink Sweet Unique
54967,Rose Pink Sweet Unique
26249,Rose Pink Sweet Unique
30520,Rose Pink Sweet Unique
48981,Rose Pink Sweet Unique
30521,Rose Pink Sweet Unique
21484,Bells of Ireland
32232,Bells of Ireland
47089,Rose Hot Pink Pink Floyd
47090,Rose Hot Pink Pink Floyd
41964,Ranunculus Blush Pon Pon Jumbo
47089,Rose Hot Pink Pink Floyd
47090,Rose Hot Pink Pink Floyd
41964,Ranunculus Blush Pon Pon Jumbo
17865,Ranunculus Pink Hot Jumbo
17840,Ranunculus Pink Blush Jumbo
27775,Ranunculus Berry Cappuchino Jumbo
17893,Ranunculus Gypsy Cappuchino
17894,Ranunculus Gypsy Cappuchino XXL
41193,Ranunculus White
17841,Ranunculus White Jumbo
17992,Ranunculus Cream Jumbo
17896,Ranunculus Pink Light Jumbo
17905,Ranunculus Coral Jumbo
17900,Ranunculus Assorted Jumbo
17899,Ranunculus Salmon Jumbo
17866,Ranunculus Peach Grand Pastel
17864,Ranunculus Peach Jumbo
17884,Ranunculus Princess Peach Jumbo
65687,Rose Yellow Butterscotch
17840,Ranunculus Pink Blush Jumbo
17865,Ranunculus Pink Hot Jumbo
17904,Ranunculus Pink Lady Jumbo
17896,Ranunculus Pink Light Jumbo
17889,Ranunculus Pink
17897,Ranunculus Pink Jumbo
17884,Ranunculus Princess Peach Jumbo
34863,Ranunculus White
31198,Ranunculus White
34862,Ranunculus Orange
28892,Ranunculus Orange
20553,Ranunculus Pink Hot
35571,Ranunculus Red
35101,Ranunculus Salmon
34861,Ranunculus Purple
46922,Rose Yellow Blikini
46923,Rose Yellow Blikini
20553,Ranunculus Pink Hot
29761,Ranunculus Pink
28891,Ranunculus Yellow
40367,Rose Hot Pink Lola
57555,Rose Hot Pink Lola
40368,Rose Hot Pink Lola
40915,Rose Hot Pink Lola
40367,Rose Hot Pink Lola
57555,Rose Hot Pink Lola
40368,Rose Hot Pink Lola
40915,Rose Hot Pink Lola
68982,Rose White Coldplay
68889,Rose White Coldplay
31698,Calla Lily Mini Purple Picasso
29367,Calla Lily Mini Assorted
29969,Calla Lily Mini Org Mango
17818,Calla Lily Mini Org Marmaid
36586,Calla Lily Min Black Odessa
36584,Calla Lily Mini Purple
38283,Calla Lily Mini Pink Perle
38284,Calla Lily Mini Pink Perle
36586,Calla Lily Min Black Odessa
31436,Calla Lily Mini Yellow gold
27079,Calla Lily Mini Yellow
36686,Calla Lily Min Black Velvet
41439,Calla Lily Mini Pink
38337,Calla Lily Mini Pink Hot
38283,Calla Lily Mini Pink Perle
38284,Calla Lily Mini Pink Perle
38290,Calla Lily Mini Burgundy Sumatra
41405,Calla Lily Mini Cranberry
38092,Calla Lily Mini Red Majolika
33044,Calla Lily Mini Schwarz
39874,Calla Lily Mini White
39911,Calla Lily Mini White
40077,Calla Lily Mini White
36611,Calla Lily Mini White Ventura
42819,Ranunculus Butterfly Grace
57620,Ranunculus Butterfly Cream
38021,Calla Lily White Open
33998,Calla Lily White Magnum
20656,Calla Lily White Open
17760,Calla Lily White Open
42819,Ranunculus Butterfly Cream Grace
57620,Ranunculus Butterfly Cream Litai
45252,Ranunculus Butterfly Cream Grace
41526,Ranunculus Butterfly Cream Keramos
34867,Ranunculus Butterfly Musa
45708,Ranunculus Butterfly Pink Hera
23381,Ranunculus Butterfly Pink Light Ariadne
58990,Ranunculus Butterfly Pink Melissa
57278,Ranunculus Butterfly Purple Thiva
42829,Ranunculus Butterfly Salemio Eris
29502,Ranunculus Butterfly Yellow Helios
50600,Carnation Holiday Pack
20691,Carnation Holiday Pack
50601,Carnation Holilday Pack Select
20780,Carnation Holiday Fancy
66053,Carnation Orange
62805,Carnation Orange Megan
52192,Carnation Org Trueno
20757,Carnation Red
26321,Carnation Red Fancy
20795,Carnation Red Select
36940,Carnation Red Virgilio
59274,Carnation Peach Apple Tea
37836,Garden Rose White Alabaster
45708,Ranunculus Butterfly Pink Hera
30947,Rose Lavender Deep Purple
23782,Rose Lavender Deep Purple
45785,Rose Lavender Deep Purple
61086,Rose Lavender Deep Purple
68380,Carnation Brut
20751,Carnation Pink
50880,Carnation Pink Doncel
48606,Carnation Pink Doncel
57635,Carnation Pink Lege
56042,Carnation Pink-Hot
62796,Carnation Pink-Hotizet
20710,Carnation Select Moon Aqua
50878,Carnation Lege Sport
20748,Carnation Peach
59274,Carnation Peach Apple Tea
62037,Carnation Peach Lege Marrone
50879,Carnation Peach Lizi
62037,Carnation Peach Lege Marrone
20713,Carnation Select Moon Vista
60522,Carnation Purple
20712,Carnation Select Moon Shade
20713,Carnation Select Moon Vista
56042,Carnation Pink-Hot
62796,Carnation Pink-Hotizet
43327,Garden Rose Westmin' Abbey
60519,Carn Moon Select Assorted
60547,Carnation Assorted Fancy
60797,Carnation Assorted Fancy
62060,Carnation Assorted Fancy
65493,Carnation Assorted Fancy
20684,Carnation Assorted
65224,Carnation Assorted Select
50594,Carnation Assorted Select
60795,Carnation Assorted Select
65424,Carnation Assorted Select
60520,Carnation Assorted Spring Select
50600,Carnation Holiday Pack Fancy
20691,Carnation Holiday Pack Fcy
50601,Carnation Holiday Pack Sel
20780,Carnation Holiday Fancy
60533,Carnation Novelty Assorted
50602,Carnation Novelty Fancy
50604,Carnation Novelty Select
60531,Carnation Novelty Select
60524,Carnation Novelty Select
60519,Carn Moon Select Assorted
20763,Carnation White
28125,Carnation White Fancy
20764,Carnation White Fancy
20765,Carnation White Select
68376,Carnation White Moon Light
57635,Carnation Pink Lege
20771,Carnation Burgundy
56983,Rose Yellow Lighthouse
50877,Carnation Bernard
49676,Carnation Bicolor Jelly
20732,Carnation Rendez/Komachi
54810,Carnation Cheerio
68378,Carnation Cover
50616,Carnation Creola
50609,Carnation Komachi Fiesta
52160,Carnation Mauve Mohave
26459,Carnation Minerva
59274,Carnation Peach Apple Tea
20749,Carnation Peppermint
54875,Carnation Mustard
68374,Carnation Yellow
52190,Carnation Yellow Diletta
52159,Carnation Lavender Boheme
62801,Carnation Lavender Farida
62802,Carnation Lavender Prinz
58013,Carnation Lavender
20710,Carnation Select Moon Aqua
20711,Carnation Select Moon Lite
39882,Garden Rose White Patience
21350,Mini Carnation Purple
21337,Mini Carnation Cherry Tessino
21349,Mini Carnation Peppermint
50626,Mini Carnation Masquerade
21348,Mini Carnation Peach
57006,Rose Cream Quicksand
65467,Rose Cream Quicksand
28180,Rose Cream Quicksand
40918,Rose Cream Quicksand
30694,Rose Cream Quicksand
40919,Roseream Quicksand
65781,Carnatio Cnaramel
21351,Mini Carnation Red
59271,Miniarnation Red
37109,Carnation Green
20755,Carnation Green Prado Mint
21347,Miniarnation Orange
21353,Miniarnation White
21411,Miniarnation White
21343,Miniarnation Pink-Hot
21398,Miniarnation Pink-Hot
20734,Carnationream
21338,Miniarnationream
21355,Mini Carnation Green
21328,Mini Carnation Assorted
60646,Mini Carnation Assorted
65310,Mini Carnation Assorted
21363,Mini Carnation Assorted
21430,Mini Carnation Holiday Pack
60645,Mini Carnation Novelty Assorted
21345,Mini Carnation Pink-Light
21336,Mini Carnation Burgundy
42746,Rose Hot Pink Roseberry
21354,Mini Carnation Yellow
21344,Mini Carnation Lavender
48978,Garden Rose White O'Hara
33114,Delphinium Dark Blue Sea Waltz
36083,Delphinium Dark Blue Sea Waltz
35608,Delphinium Dark Blue Sea Waltz
39944,Delphinium Dark Blue Sea Waltz
42746,Rose Hot Pink Roseberry
33114,Delphinium Dark Blue Sea Waltz
36083,Delphinium Dark Blue Sea Waltz
35608,Delphinium Dark Blue Sea Waltz
39944,Delphinium Dark Blue Sea Waltz
33130,Delphinium Blue Volkenfried
26708,Delphinium Blue Volkenfried
33130,Delphinium Blue Volkenfried
26708,Delphinium Blue Volkenfried
39084,Delphinium Hybrid Purple Black Pacific
39082,Delphinium Hybrid Purple Black Pacific
38366,Delphinium Hybrid White Pacific
38367,Delphinium Hybrid White Pacific
38368,Delphinium Hybrid White Pacific
56892,Garden Rose Assorted
38353,Delphinium Hybrid blue-Dark Blue Pacific
38354,Delphinium Hybrid Blue-Dark Blue Pacific
38355,Delphinium Hybrid Blue-Dark Blue Pacific
38362,Delphinium Hybrid Blue-Dark Blue Pacific
38363,Delphinium Hybrid Blue-Dark Blue Pacific
38364,Delphinium Hybrid Blue-Dark Blue Pacific
39076,Delphinium Hybrid Lavender Pacific
39078,Delphinium Hybrid Pink Pacific
39080,Delphinium Hybrid Pink Pacific
38353,Delphinium Hybrid Lavender Pacific
38354,Delphinium Hybrid Blue-Dark Blue Pacific
38355,Delphinium Hybrid Blue-Dark Blue Pacific
38362,Delphinium Hybrid Light-Blue Pacific
38363,Delphinium Hybrid Light-Blue Pacific
38364,Delphinium Hybrid Light-Blue Pacific
47769,Garden Rose Peach Juliet
34167,Delphinium Hybrid Assorted
27366,Delphinium Dark Blue
27367,Delphinium Hybrid Purple
27366,Delphinium Hybrid Blue
39119,Delphinium Hybrid Blue
38139,Delphinium Hybrid White
20927,Delphinium Hybrid Lavender Pacific
32214,Delphinium Hybrid White-Dark Blue Bella
20920,Delphinium Blue -Light Bella
39119,Delphinium Hybrid Blue - Dark Blue
33392,Delphinium White Andesella
32214,Delphinium Hybrid White-Dark Blue Bella
20920,Delphinium Blue -Light Bella
36122,Garden Rose Hot Pink Darcey
20951,Delphinium Light Blue Sea Waltz
33091,Delphinium Light Blue Sea Waltz
34903,Delphinium Light Blue Sea Waltz
36122,Garden Rose Hot Pink Darcey
23965,Rose Var Flamingo
20951,Delphinium Light Blue Sea Waltz
33091,Delphinium Light Blue Sea Waltz
34903,Delphinium Light Blue Sea Waltz
63301,Gerbera Pink-Hot/White Mandala
43639,Gerbera Yellow
34200,Gerbera Yellow
32067,Gerbera Orange Alex
57903,Gerbera Orange Atlanta
34343,Gerbera Orangeandella
55401,Gerbera Orange Spotlight
63301,Gerbera Pink-Hot/White Mandala
42613,Gerbera Var Pink Hippiehic
34201,Gerbera White
43607,Gerbera White
17660,Gerbera Cream/Peach Cartizze
52786,Gerbera Peach Alma
43342,Gerbera Peach Avignon
34771,Gerbera Peach Bicolor Julia
26713,Gerbera Peach Carlita
59919,Gerbera Peach Cream Cafe Del Mar
59918,Gerbera Peach Cream Estate
49749,Gerbera Peach Pre-Extase
17660,Gerbera Cream/Peach Cartizze
59919,Gerbera Peach Cream Cafe Del Mar
17660,Gerbera Cream/Peach Cartizze
59919,Gerbera Peach Cream Cafe Del Mar
59918,Gerbera Peach Cream Estate
55231,Gerbera Coral Hamptons
25789,Gerbera Pink-Light
29886,Gerbera Pink-Light
55231,Gerbera Coral Hamptons
