product_name,competitor_product_group_name,competitor_product_id
Garland Gypsophila Tinted Sweet Candy Pink Mix 5',Garland,4618538
Garland Gypsophila Tinted Turquoise 10',Garland,4726067
Garland Gypsophila Tinted Turquoise 5',Garland,4618507
Garland Gypsophila Tinted Yellow 10',Garland,4726083
Garland Gypsophila Tinted Yellow 5',Garland,4618529
Garland Gypsophila Xlence Natural White 10',Garland,4726064
Garland Gypsophila Xlence Natural White 5',Garland,4618479
Gerbera Black Center Assorted,Gerbera,513625
Gerbera Black Center Hot Pink,Gerbera,513641
Gerbera Black Center Orange,Gerbera,513651
Gerbera Black Center Pink,Gerbera,513655
Gerbera Black Center Red,Gerbera,513657
Gerbera Green Center Yellow,Gerbera,513788
Grass Pampas Beige Tall,Grass,2665240
Green Mist Chocolate Brown,Green Mist,1198724
Green Mist Green,Green Mist,515858
Green Mist Green,Green Mist,515858
Gypsophila Cosmic White,Gypsophila,1034329
Gypsophila Million Star White,Gypsophila,485064
Gypsophila Million Star White,Gypsophila,485064
Gypsophila Million Star White,Gypsophila,485064
Gypsophila Mirabella White,Gypsophila,485065
Gypsophila New Love White,Gypsophila,485066
Gypsophila Xlence White,Gypsophila,485069
Gypsophila Xlence White,Gypsophila,485069
Gypsophila Xlence White,Gypsophila,485069
Honey Bracelet Green,Honey Bracelet,515911
Hydrangea 50/50 Mix White/Light Blue,Hydrangea,1756473
Hydrangea Antique Assorted,Hydrangea,1055325
Hydrangea Antique Assorted Large,Hydrangea,1050373
Hydrangea Antique Blue/Green Jumbo,Hydrangea,520130
Hydrangea Antique Blue/Green Large,Hydrangea,485124
Hydrangea Antique Green Large,Hydrangea,485132
Hydrangea Antique Green Medium,Hydrangea,485133
Hydrangea Antique Hulk Green/Blue Large,Hydrangea,646798
Hydrangea Antique Hulk Green/Blue Large,Hydrangea,646798
Hydrangea Antique Red/Green Jumbo,Hydrangea,865842
Hydrangea Antique Red/Green Large,Hydrangea,485165
Hydrangea Dark Blue Large,Hydrangea,485075
Hydrangea Dark Blue Medium,Hydrangea,485076
Hydrangea Light Blue Large,Hydrangea,485090
Hydrangea Light Blue Medium,Hydrangea,485091
Hydrangea Light Blue Medium,Hydrangea,485091
Hydrangea Light Lavender Large,Hydrangea,1372587
Hydrangea Light Pink Large,Hydrangea,485096
Hydrangea Light Pink Medium,Hydrangea,485097
Hydrangea Mini Dark Green Small,Hydrangea,490077
Hydrangea Mini Green Small,Hydrangea,485202
Hydrangea Mojito Green Medium,Hydrangea,485204
Hydrangea Mojito Green Medium,Hydrangea,485204
Hydrangea Mojito Green Small,Hydrangea,485205
Hydrangea Purple Large,Hydrangea,485111
Hydrangea Purple Small,Hydrangea,485113
Hydrangea Shamrock Green Dark Green Medium,Hydrangea,522046
Hydrangea Shamrock Green/White Medium,Hydrangea,509943
Hydrangea White Jumbo,Hydrangea,485117
Hydrangea White Large,Hydrangea,485118
