competitor_product_id,product_name
2160942,Pompon Button Assorted
2160944,Pompon Button Green
2160946,Pompon Button Green Athos
2160948,Pompon Button Lavender
2160950,Pompon Button Pink
2160952,Pompon Button Purple
2160954,Pompon Button White
2160956,Pompon Button Yellow
2160958,Pompon Cdn Assorted
2160960,Pompon Cushion Assorted
2160962,Pompon Cushion Green
2160964,Pompon Cushion Lavender
2160966,Pompon Cushion Pink
2160968,Pompon Cushion Purple
2160970,Pompon Cushion Red
2160972,Pompon Cushion White
2160974,Pompon Cushion Yellow
2160976,Pompon Cushion Zembla Green
2160978,Pompon Daisy Assorted
2160980,Pompon Daisy Atlantis White
2160982,Pompon Daisy Cream Yellow
2160984,Pompon Daisy Handsome Purple
2160986,Pompon Daisy Lavender
2160988,Pompon Daisy Orinoco Purple
2160990,Pompon Daisy Pink
2160992,Pompon Daisy Purple
2160994,Pompon Daisy Reagan
2160996,Pompon Daisy Tinted Assorted
2160998,Pompon Daisy Viking Yellow
2161000,Pompon Daisy White
2161002,Pompon Daisy Yellow
2161139,Pompon Micro Pom Assorted
2161141,Pompon Micro Pom Purple
2161143,Pompon Micro Pom White
2271683,Populus All Metal 150 Green
2271681,Populus Metal Copper 150 Green
2162250,Populus Metal Gold 150 Green
2271682,Populus Metal Red 150 Green
2271680,Populus Metal Silver 150 Green
2161129,Protea Pincushion Assorted
2161131,Protea Pincushion High Gold
2161133,Protea Pincushion Neena
2161135,Protea Pincushion Soleil
2161137,Protea Pincushion Spider
2161145,Ranunculus Aazur Orange
2161147,Ranunculus Aazur Red Baron
2161149,Ranunculus Aazur Salmon
2161151,Ranunculus Aazur White
2161153,Ranunculus Assorted
2161155,Ranunculus Hot Pink
2161157,Ranunculus Light Pink
2161159,Ranunculus Pink
2161163,Ranunculus Purple
2161161,Ranunculus White
2161165,Ranunculus Yellow
2158135,Rose Assorted
2158137,Rose Assorted
2158139,Rose Assorted
2158141,Rose Assorted
2194380,Rose Cappuccino Tinted
2180537,Rose Mondial Dyed Black
2180535,Rose Mondial Dyed Blue
2171971,Rose Phoenix Peach
2171972,Rose Phoenix Peach
2171973,Rose Phoenix Peach
2177017,Rose Red Assorted
2211383,Rose Red Panther
2211384,Rose Red Panther
2194383,Rose Terracota Brown Tinted
2194379,Rose Toffee Tinted
2162702,Rose Vintage
2157807,Roses Alba
2157809,Roses Alba
2157811,Roses Amnesia
2157813,Roses Amnesia
2157815,Roses Amsterdam
2157817,Roses Amsterdam
2157821,Roses Atomica
2157823,Roses Atomica
2157725,Roses Bicolor Pink Assorted
2157727,Roses Bicolor Pink Assorted
2157729,Roses Bicolor Pink Assorted
2157731,Roses Bicolor Yellow Assorted
2157733,Roses Bicolor Yellow Assorted
2157735,Roses Bicolor Yellow Assorted
2157825,Roses Black Magic
2157827,Roses Black Magic
