competitor,competitor_product_id,competitor_product_name,competitor_product_group_name,color,stem_length,stems_per_unit,unit_price,stem_price,matched_variety_name,variety_key,variety_score,cleaned_name_used,matched_product_group_name,product_group_key,product_group_score,created_at,eta_date
PetalJet,8282599850293,Aly Rose,Premium Roses,blush,50,84,142.8,1.7,Pink Aly Roses,ca7babde-297b-479d-9c1a-27dbc9ed90c9,0.9414201378822327,aly rose,,,,2025-05-26,2025-06-04
PetalJet,8282599850293,Aly Rose,Premium Roses,blush,50,168,278.88,1.66,Pink Aly Roses,ca7babde-297b-479d-9c1a-27dbc9ed90c9,0.9414201378822327,aly rose,,,,2025-05-26,2025-06-04
PetalJet,8282599850293,Aly Rose,Premium Roses,blush,60,84,165.48,1.97,Pink Aly Roses,ca7babde-297b-479d-9c1a-27dbc9ed90c9,0.9414201378822327,aly rose,,,,2025-05-26,2025-06-04
PetalJet,8282599850293,Aly Rose,Premium Roses,blush,60,168,319.2,1.9,Pink Aly Roses,ca7babde-297b-479d-9c1a-27dbc9ed90c9,0.9414201378822327,aly rose,,,,2025-05-26,2025-06-04
PetalJet,4411495022691,Amaranthus Green Hanging -,Amaranthus,best seller,60,40,98.4,2.46,Green Hanging Amaranthus,a035bd55-23af-4c21-83b0-baef07669984,0.9947052001953125,amaranthus green hanging,Amaranthus,83a8817f-88b8-45a9-bc11-f9e3868e1882,1.0,2025-05-26,2025-06-04
PetalJet,4411495022691,Amaranthus Green Hanging -,Amaranthus,best seller,60,80,164.8,2.06,Green Hanging Amaranthus,a035bd55-23af-4c21-83b0-baef07669984,0.9947052001953125,amaranthus green hanging,Amaranthus,83a8817f-88b8-45a9-bc11-f9e3868e1882,1.0,2025-05-26,2025-06-04
PetalJet,4411495022691,Amaranthus Green Hanging -,Amaranthus,best seller,70,80,180.0,2.25,Green Hanging Amaranthus,a035bd55-23af-4c21-83b0-baef07669984,0.9947052001953125,amaranthus green hanging,Amaranthus,83a8817f-88b8-45a9-bc11-f9e3868e1882,1.0,2025-05-26,2025-06-04
PetalJet,8667720089909,Amaranthus Hanging Mixed Box #901 -,Amaranthus,Christmas Holiday,60,40,98.4,2.46,Pink Red Hanging Amaranthus,ac7dc5a8-e6bf-4940-85e2-81eeaeeb7722,0.9567526578903198,901 amaranthus box hanging mixed,Amaranthus,83a8817f-88b8-45a9-bc11-f9e3868e1882,1.0,2025-05-26,2025-06-04
PetalJet,8667720089909,Amaranthus Hanging Mixed Box #901 -,Amaranthus,Christmas Holiday,60,80,164.8,2.06,Pink Red Hanging Amaranthus,ac7dc5a8-e6bf-4940-85e2-81eeaeeb7722,0.9567526578903198,901 amaranthus box hanging mixed,Amaranthus,83a8817f-88b8-45a9-bc11-f9e3868e1882,1.0,2025-05-26,2025-06-04
PetalJet,8667720089909,Amaranthus Hanging Mixed Box #901 -,Amaranthus,Christmas Holiday,70,80,180.0,2.25,Pink Red Hanging Amaranthus,ac7dc5a8-e6bf-4940-85e2-81eeaeeb7722,0.9567526578903198,901 amaranthus box hanging mixed,Amaranthus,83a8817f-88b8-45a9-bc11-f9e3868e1882,1.0,2025-05-26,2025-06-04
PetalJet,4411490336867,Amaranthus Red Hanging -,Amaranthus,Burgundy,60,40,98.4,2.46,Green Hanging Amaranthus,a035bd55-23af-4c21-83b0-baef07669984,0.9944771528244019,amaranthus hanging red,Amaranthus,83a8817f-88b8-45a9-bc11-f9e3868e1882,1.0,2025-05-26,2025-06-04
PetalJet,4411490336867,Amaranthus Red Hanging -,Amaranthus,Burgundy,60,80,164.8,2.06,Green Hanging Amaranthus,a035bd55-23af-4c21-83b0-baef07669984,0.9944771528244019,amaranthus hanging red,Amaranthus,83a8817f-88b8-45a9-bc11-f9e3868e1882,1.0,2025-05-26,2025-06-04
PetalJet,4411490336867,Amaranthus Red Hanging -,Amaranthus,Burgundy,70,80,180.0,2.25,Green Hanging Amaranthus,a035bd55-23af-4c21-83b0-baef07669984,0.9944771528244019,amaranthus hanging red,Amaranthus,83a8817f-88b8-45a9-bc11-f9e3868e1882,1.0,2025-05-26,2025-06-04
