competitor,competitor_product_id,competitor_product_name,competitor_product_group_name,color,stem_length,stems_per_unit,unit_price,stem_price,cleaned_name_used,created_at,eta_date
PetalJet,8280653070645,Avalanche Rose,Premium Roses,Wedding,70,72,154.8,2.15,Avalanche Rose,2025-05-28,2025-06-06
PetalJet,8280653070645,Avalanche Rose,Premium Roses,Wedding,70,144,300.96,2.09,Avalanche Rose,2025-05-28,2025-06-06
PetalJet,8280653070645,Avalanche Rose,Premium Roses,Wedding,70,288,587.52,2.04,Avalanche Rose,2025-05-28,2025-06-06
PetalJet,8062173544757,Babylon Carnation,Carantions,Bicolor,60,200,102.0,0.51,Babylon Carnation,2025-05-28,2025-06-06
PetalJet,8062173544757,Babylon Carnation,Carantions,Bicolor,60,350,161.0,0.46,Babylon Carnation,2025-05-28,2025-06-06
PetalJet,8062173544757,Babylon Carnation,Carantions,Bicolor,70,300,153.0,0.51,Babylon Carnation,2025-05-28,2025-06-06
PetalJet,4515345465443,Balance Jumbo Gerber Daisy,Jumbo Gerber Daisies,Gerbera,40,60,82.2,1.37,Balance Jumbo Gerber Daisy,2025-05-28,2025-06-06
PetalJet,4515345465443,Balance Jumbo Gerber Daisy,Jumbo Gerber Daisies,Gerbera,50,40,73.6,1.84,Balance Jumbo Gerber Daisy,2025-05-28,2025-06-06
PetalJet,1826970271805,Balboa Purple Lisianthus,Lisianthus,Purple,50,100,138.0,1.38,Balboa Purple Lisianthus,2025-05-28,2025-06-06
PetalJet,1826970271805,Balboa Purple Lisianthus,Lisianthus,Purple,50,160,206.4,1.29,Balboa Purple Lisianthus,2025-05-28,2025-06-06
PetalJet,1826970271805,Balboa Purple Lisianthus,Lisianthus,Purple,50,180,225.0,1.25,Balboa Purple Lisianthus,2025-05-28,2025-06-06
PetalJet,1826970271805,Balboa Purple Lisianthus,Lisianthus,Purple,60,80,126.4,1.58,Balboa Purple Lisianthus,2025-05-28,2025-06-06
PetalJet,1826970271805,Balboa Purple Lisianthus,Lisianthus,Purple,60,120,177.6,1.48,Balboa Purple Lisianthus,2025-05-28,2025-06-06
PetalJet,1826970271805,Balboa Purple Lisianthus,Lisianthus,Purple,60,150,220.5,1.47,Balboa Purple Lisianthus,2025-05-28,2025-06-06
PetalJet,1826970271805,Balboa Purple Lisianthus,Lisianthus,Purple,70,120,201.6,1.68,Balboa Purple Lisianthus,2025-05-28,2025-06-06
PetalJet,8028432859445,Bali Spray Rose,Spray Roses,Peach,40,60,105.6,1.76,Bali Spray Rose,2025-05-28,2025-06-06
PetalJet,8028432859445,Bali Spray Rose,Spray Roses,Peach,40,70,116.2,1.66,Bali Spray Rose,2025-05-28,2025-06-06
PetalJet,8028432859445,Bali Spray Rose,Spray Roses,Peach,40,110,169.4,1.54,Bali Spray Rose,2025-05-28,2025-06-06
PetalJet,8028432859445,Bali Spray Rose,Spray Roses,Peach,50,60,115.8,1.93,Bali Spray Rose,2025-05-28,2025-06-06
PetalJet,8028432859445,Bali Spray Rose,Spray Roses,Peach,50,100,179.0,1.79,Bali Spray Rose,2025-05-28,2025-06-06
PetalJet,8028432859445,Bali Spray Rose,Spray Roses,Peach,60,60,127.2,2.12,Bali Spray Rose,2025-05-28,2025-06-06
PetalJet,8028432859445,Bali Spray Rose,Spray Roses,Peach,60,100,195.0,1.95,Bali Spray Rose,2025-05-28,2025-06-06
PetalJet,6635823857763,Baltazar Spider Chrysanthemum,Chrysanthemums,Bicolor,45,70,93.1,1.33,Baltazar Spider Chrysanthemum,2025-05-28,2025-06-06
PetalJet,6635823857763,Baltazar Spider Chrysanthemum,Chrysanthemums,Bicolor,45,100,130.0,1.3,Baltazar Spider Chrysanthemum,2025-05-28,2025-06-06
PetalJet,6635823857763,Baltazar Spider Chrysanthemum,Chrysanthemums,Bicolor,65,100,133.0,1.33,Baltazar Spider Chrysanthemum,2025-05-28,2025-06-06
PetalJet,8271390572853,Barista Rose,Premium Roses,Fall,40,60,119.4,1.99,Barista Rose,2025-05-28,2025-06-06
PetalJet,8271390572853,Barista Rose,Premium Roses,Fall,40,84,162.96,1.94,Barista Rose,2025-05-28,2025-06-06
PetalJet,8271390572853,Barista Rose,Premium Roses,Fall,40,168,317.52,1.89,Barista Rose,2025-05-28,2025-06-06
PetalJet,8271390572853,Barista Rose,Premium Roses,Fall,50,60,129.6,2.16,Barista Rose,2025-05-28,2025-06-06
PetalJet,8271390572853,Barista Rose,Premium Roses,Fall,50,84,176.4,2.1,Barista Rose,2025-05-28,2025-06-06
PetalJet,8271390572853,Barista Rose,Premium Roses,Fall,50,168,342.72,2.04,Barista Rose,2025-05-28,2025-06-06
PetalJet,8381251780917,Be Sweet Rose,Premium Roses,Coral,50,144,213.12,1.48,Be Sweet Rose,2025-05-28,2025-06-06
PetalJet,8381251780917,Be Sweet Rose,Premium Roses,Coral,60,72,119.52,1.66,Be Sweet Rose,2025-05-28,2025-06-06
PetalJet,8381251780917,Be Sweet Rose,Premium Roses,Coral,60,144,233.28,1.62,Be Sweet Rose,2025-05-28,2025-06-06
PetalJet,8381251780917,Be Sweet Rose,Premium Roses,Coral,60,288,457.92,1.59,Be Sweet Rose,2025-05-28,2025-06-06
PetalJet,8381251780917,Be Sweet Rose,Premium Roses,Coral,70,72,126.72,1.76,Be Sweet Rose,2025-05-28,2025-06-06
PetalJet,8381251780917,Be Sweet Rose,Premium Roses,Coral,70,144,243.36,1.69,Be Sweet Rose,2025-05-28,2025-06-06
PetalJet,8381251780917,Be Sweet Rose,Premium Roses,Coral,70,288,478.08,1.66,Be Sweet Rose,2025-05-28,2025-06-06
PetalJet,8917314273589,Beautiful Blooms Mixed Box #506,Flowers Mixed Boxes,assorted,84,84,123.48,1.47,Beautiful Blooms Mixed Box #506,2025-05-28,2025-06-06
PetalJet,8500445053237,Beautiful Blooms Mixed Box #507,Flowers Mixed Boxes,assorted,94,94,121.26,1.29,Beautiful Blooms Mixed Box #507,2025-05-28,2025-06-06
PetalJet,8500498366773,Beautiful Blooms Mixed Box #508,Flowers Mixed Boxes,assorted,102,102,134.64,1.32,Beautiful Blooms Mixed Box #508,2025-05-28,2025-06-06
PetalJet,8500535099701,Beautiful Blooms Mixed Box #509,Flowers Mixed Boxes,assorted,84,84,125.16,1.49,Beautiful Blooms Mixed Box #509,2025-05-28,2025-06-06
PetalJet,8917295464757,Beautiful Blooms Mixed Box #510,Flowers Mixed Boxes,assorted,74,74,96.2,1.3,Beautiful Blooms Mixed Box #510,2025-05-28,2025-06-06
PetalJet,8934217974069,Beautiful Blooms Mixed Box #511,Flowers Mixed Boxes,assorted,94,94,117.5,1.25,Beautiful Blooms Mixed Box #511,2025-05-28,2025-06-06
PetalJet,8954925973813,Beautiful Blooms Mixed Box #512,Flowers Mixed Boxes,xmas,82,82,106.6,1.3,Beautiful Blooms Mixed Box #512,2025-05-28,2025-06-06
PetalJet,6549534474339,Bells of Ireland (Molucella),Greens,Cut Greens,60,80,84.0,1.05,Bells of Ireland (Molucella),2025-05-28,2025-06-06
PetalJet,6549534474339,Bells of Ireland (Molucella),Greens,Cut Greens,70,100,110.0,1.1,Bells of Ireland (Molucella),2025-05-28,2025-06-06
PetalJet,6549534474339,Bells of Ireland (Molucella),Greens,Cut Greens,80,80,104.8,1.31,Bells of Ireland (Molucella),2025-05-28,2025-06-06
PetalJet,8381263118645,Bikini Rose,Premium Roses,Yellow,40,48,72.48,1.51,Bikini Rose,2025-05-28,2025-06-06
