competitor,competitor_product_id,competitor_product_name,competitor_product_group_name,color,stem_length,stems_per_unit,unit_price,price_per_stem,matched_variety_name,variety_key,variety_score,matched_product_group_name,product_group_key,product_group_score,created_at,eta_date
PetalJet,48430947860789,Amatista Alstroemeria -,Alstroemeria,alstromeria,70,200,168.0,0.84,Amatista Alstroemeria,bea14151-edfc-4fc5-86f5-520851dfa0b7,0.9987452626228333,Alstroemeria,ecaa1c68-87fc-4f4e-b088-ba5e94c7b7bc,1.0000001192092896,2025-05-07,2025-05-15
PetalJet,49758575034677,Amnesia Rose,Premium Roses,Bicolor,40,72,95.04,1.32,Amnesia Roses,c7aedaca-dac0-48fc-ad08-9945e33cbb7b,0.9831960201263428,,,,2025-05-07,2025-05-15
PetalJet,49758577492277,Amnesia Rose,Premium Roses,Bicolor,40,96,124.8,1.3,Amnesia Roses,c7aedaca-dac0-48fc-ad08-9945e33cbb7b,0.9831960201263428,,,,2025-05-07,2025-05-15
PetalJet,49758578245941,Amnesia Rose,Premium Roses,Bicolor,40,192,241.92,1.26,Amnesia Roses,c7aedaca-dac0-48fc-ad08-9945e33cbb7b,0.9831960201263428,,,,2025-05-07,2025-05-15
PetalJet,49758580375861,Amnesia Rose,Premium Roses,Bicolor,40,384,472.32,1.23,Amnesia Roses,c7aedaca-dac0-48fc-ad08-9945e33cbb7b,0.9831960201263428,,,,2025-05-07,2025-05-15
PetalJet,49758585880885,Amnesia Rose,Premium Roses,Bicolor,50,72,100.8,1.4,Amnesia Roses,c7aedaca-dac0-48fc-ad08-9945e33cbb7b,0.9831960201263428,,,,2025-05-07,2025-05-15
PetalJet,49758587846965,Amnesia Rose,Premium Roses,Bicolor,50,96,132.48,1.38,Amnesia Roses,c7aedaca-dac0-48fc-ad08-9945e33cbb7b,0.9831960201263428,,,,2025-05-07,2025-05-15
PetalJet,49758589550901,Amnesia Rose,Premium Roses,Bicolor,50,192,257.28,1.34,Amnesia Roses,c7aedaca-dac0-48fc-ad08-9945e33cbb7b,0.9831960201263428,,,,2025-05-07,2025-05-15
PetalJet,49758593286453,Amnesia Rose,Premium Roses,Bicolor,50,384,499.2,1.3,Amnesia Roses,c7aedaca-dac0-48fc-ad08-9945e33cbb7b,0.9831960201263428,,,,2025-05-07,2025-05-15
PetalJet,49939533070645,Amos Red Carnation -,Carantions,Red,60,200,102.0,0.51,Betsy Carnation,5a0bb880-7885-43a9-b540-f9a808f30df0,0.999331533908844,,,,2025-05-07,2025-05-15
PetalJet,49939533988149,Amos Red Carnation -,Carantions,Red,60,350,161.0,0.46,Betsy Carnation,5a0bb880-7885-43a9-b540-f9a808f30df0,0.999331533908844,,,,2025-05-07,2025-05-15
PetalJet,49939534774581,Amos Red Carnation -,Carantions,Red,70,300,153.0,0.51,Betsy Carnation,5a0bb880-7885-43a9-b540-f9a808f30df0,0.999331533908844,,,,2025-05-07,2025-05-15
PetalJet,49827525820725,Amsterdam Rose,Premium Roses,Coral,40,60,78.6,1.31,Amsterdam Roses,872ebeae-00a4-42f3-b1d8-223e63009f6a,0.9987342357635498,,,,2025-05-07,2025-05-15
PetalJet,49827528638773,Amsterdam Rose,Premium Roses,Coral,40,84,106.68,1.27,Amsterdam Roses,872ebeae-00a4-42f3-b1d8-223e63009f6a,0.9987342357635498,,,,2025-05-07,2025-05-15
