color,competitor,competitor_product_group_name,competitor_product_id,competitor_product_name,created_at,eta_date,matched_product_group_name,matched_variety_name,price_per_stem,product_group_key,product_group_score,stem_length,stems_per_unit,unit_price,variety_key,variety_score
Fall,PetalJet,Premium Roses,48430948221237,Aloha Rose,2025-05-03,2025-05-13,Premium Roses,Roses Aloha,1.75,7a68bebd-2346-4e73-9906-a7665c22ce20 ,0.9963545799255371,50,48,84.0,ec99c2c0-ef14-4960-bf13-48ac7a071792,0.9609991312026978
Fall,PetalJet,Premium Roses,48430948254005,Aloha Rose,2025-05-03,2025-05-13,Premium Roses,Roses Aloha,1.65,7a68bebd-2346-4e73-9906-a7665c22ce20 ,0.9963545799255371,50,72,118.8,ec99c2c0-ef14-4960-bf13-48ac7a071792,0.9609991312026978
Fall,PetalJet,Premium Roses,48430948286773,Aloha Rose,2025-05-03,2025-05-13,Premium Roses,Roses Aloha,1.61,7a68bebd-2346-4e73-9906-a7665c22ce20 ,0.9963545799255371,50,144,231.84,ec99c2c0-ef14-4960-bf13-48ac7a071792,0.9609991312026978
Fall,PetalJet,Premium Roses,48430948319541,Aloha Rose,2025-05-03,2025-05-13,Premium Roses,Roses Aloha,1.56,7a68bebd-2346-4e73-9906-a7665c22ce20 ,0.9963545799255371,50,288,449.28,ec99c2c0-ef14-4960-bf13-48ac7a071792,0.9609991312026978
Fall,PetalJet,Premium Roses,48430948352309,Aloha Rose,2025-05-03,2025-05-13,Premium Roses,Roses Aloha,1.82,7a68bebd-2346-4e73-9906-a7665c22ce20 ,0.9963545799255371,60,72,131.04,ec99c2c0-ef14-4960-bf13-48ac7a071792,0.9609991312026978
Fall,PetalJet,Premium Roses,48430948385077,Aloha Rose,2025-05-03,2025-05-13,Premium Roses,Roses Aloha,1.76,7a68bebd-2346-4e73-9906-a7665c22ce20 ,0.9963545799255371,60,144,253.44,ec99c2c0-ef14-4960-bf13-48ac7a071792,0.9609991312026978
Fall,PetalJet,Premium Roses,48430948417845,Aloha Rose,2025-05-03,2025-05-13,Premium Roses,Roses Aloha,1.72,7a68bebd-2346-4e73-9906-a7665c22ce20 ,0.9963545799255371,60,288,495.36,ec99c2c0-ef14-4960-bf13-48ac7a071792,0.9609991312026978
alstromeria,PetalJet,Alstroemeria,49708273664309,Alstroemeria Assorted Box #222 -,2025-05-03,2025-05-13,Alstroemeria,Alstroemeria Assorted Select ,0.98,ecaa1c68-87fc-4f4e-b088-ba5e94c7b7bc,1.0000001192092896,60,100,98.0,b50a3557-b17f-44af-a7ca-07c86bf9a171,0.9987908601760864
alstromeria,PetalJet,Alstroemeria,49708275630389,Alstroemeria Assorted Box #222 -,2025-05-03,2025-05-13,Alstroemeria,Alstroemeria Assorted Select ,0.85,ecaa1c68-87fc-4f4e-b088-ba5e94c7b7bc,1.0000001192092896,60,180,153.0,b50a3557-b17f-44af-a7ca-07c86bf9a171,0.9987908601760864
alstromeria,PetalJet,Alstroemeria,49708276318517,Alstroemeria Assorted Box #222 -,2025-05-03,2025-05-13,Alstroemeria,Alstroemeria Assorted Select ,0.85,ecaa1c68-87fc-4f4e-b088-ba5e94c7b7bc,1.0000001192092896,70,200,170.0,b50a3557-b17f-44af-a7ca-07c86bf9a171,0.9987908601760864
